"subID","keyboard_condition","trial_type","trial_number","correct_num","response_num","response_rt","correct_space","response_space","probe_space","correct_width","response_width","probe_width","adjustment_duration","stim_length","exp_version","number_deviation","width_deviation","spacing_deviation","response_stim_length","compression_rate","actual_pooled_width","response_pooled_width","pooled_width_deviation","actual_width_density","response_width_density","width_density_deviation"
"1","left_right_width","match",22,3,3,1.95809129998088,1.8,1.6,0.5,0.1,0.1,0.35,12.1180954000447,3.7,"Exp1A",0,1.38777878078145e-17,-0.2,3.3,0.891891891891892,0.3,0.3,0,0.0810810810810811,0.0909090909090909,0.00982800982800983
"1","left_right_width","initial",23,5,4,1.87627330003306,0.5,0.5,0.8,0.4,0.35,0.15,4.56711399997585,2.4,"Exp1A",-1,-0.05,0,1.85,0.770833333333333,2,1.4,-0.6,0.833333333333333,0.756756756756757,-0.0765765765765767
"1","left_right_width","initial",24,5,4,0.947251399978995,0.5,0.5,1,0.1,0.1,0.3,4.46165139996447,2.1,"Exp1A",-1,1.38777878078145e-17,0,1.6,0.761904761904762,0.5,0.4,-0.0999999999999999,0.238095238095238,0.25,0.011904761904762
"1","left_right_width","match",25,5,4,0.992679900024086,0.4125,0.5,1.1,0.25,0.25,0.35,3.82956839981489,1.9,"Exp1A",-1,0,0.0875,1.75,0.921052631578947,1.25,1,-0.25,0.657894736842105,0.571428571428571,-0.0864661654135339
"1","left_right_width","match",26,5,4,0.999083600006998,0.525,0.8,0.4,0.25,0.35,0.2,5.16706739994697,2.35,"Exp1A",-1,0.1,0.275,2.75,1.17021276595745,1.25,1.4,0.15,0.531914893617021,0.509090909090909,-0.0228239845261123
"1","left_right_width","match",27,4,3,1.14286290016025,0.333333333333333,0.5,0.6,0.25,0.3,0.3,7.01656769984402,1.25,"Exp1A",-1,0.05,0.166666666666667,1.3,1.04,1,0.9,-0.1,0.8,0.692307692307692,-0.107692307692308
"1","left_right_width","initial",28,4,3,1.52226769994013,0.5,0.65,0.6,0.4,0.4,0.3,4.33920829999261,1.9,"Exp1A",-1,-5.55111512312578e-17,0.15,1.7,0.894736842105263,1.6,1.2,-0.4,0.842105263157895,0.705882352941177,-0.136222910216718
"1","left_right_width","match",29,3,2,0.716631199931726,1.4,2.2,1.6,0.25,0.25,0.35,3.53333649993874,3.05,"Exp1A",-1,0,0.8,2.45,0.80327868852459,0.75,0.5,-0.25,0.245901639344262,0.204081632653061,-0.0418200066912011
"1","left_right_width","match",30,3,2,1.07678120001219,1.475,3.3,1.6,0.25,0.1,0.15,5.04944289987907,3.2,"Exp1A",-1,-0.15,1.825,3.4,1.0625,0.75,0.2,-0.55,0.234375,0.0588235294117647,-0.175551470588235
"1","left_right_width","initial",31,3,2,3.02513940003701,0.9,1.6,1.6,0.4,0.45,0.45,1.33583780005574,2.2,"Exp1A",-1,0.05,0.7,2.05,0.931818181818182,1.2,0.9,-0.3,0.545454545454546,0.439024390243902,-0.106430155210643
"1","left_right_width","match",32,4,3,1.04848320013843,0.466666666666667,0.65,0.5,0.4,0.45,0.45,2.68573069991544,1.8,"Exp1A",-1,0.05,0.183333333333333,1.75,0.972222222222222,1.6,1.35,-0.25,0.888888888888889,0.771428571428571,-0.117460317460317
"1","left_right_width","initial",33,4,4,1.38703270000406,0.5,0.5,0.7,0.25,0.3,0.15,3.69610309996642,1.75,"Exp1A",0,0.05,0,1.8,1.02857142857143,1,1.2,0.2,0.571428571428571,0.666666666666667,0.0952380952380952
"1","left_right_width","match",34,3,3,0.849759300006554,1.8,1.65,0.8,0.4,0.25,0.25,6.3964756000787,4,"Exp1A",0,-0.15,-0.15,3.55,0.8875,1.2,0.75,-0.45,0.3,0.211267605633803,-0.0887323943661972
"1","left_right_width","match",35,4,4,1.52001390000805,0.6,0.5,0.3,0.25,0.15,0.3,5.32821649988182,2.05,"Exp1A",0,-0.1,-0.0999999999999999,1.65,0.804878048780488,1,0.6,-0.4,0.487804878048781,0.363636363636364,-0.124168514412417
"1","left_right_width","initial",36,5,4,1.06937410007231,0.9,0.9,0.9,0.4,0.4,0.4,1.4397054000292,4,"Exp1A",-1,0,0,3.1,0.775,2,1.6,-0.4,0.5,0.516129032258065,0.0161290322580645
"1","left_right_width","initial",37,4,3,1.08013239991851,0.7,0.95,1.2,0.25,0.2,0.35,3.24426559987478,2.35,"Exp1A",-1,-0.05,0.25,2.1,0.893617021276596,1,0.6,-0.4,0.425531914893617,0.285714285714286,-0.139817629179331
"1","left_right_width","match",38,4,4,1.01469140010886,0.333333333333333,0.5,0.7,0.1,0.1,0.4,5.13278550002724,1.1,"Exp1A",0,6.93889390390723e-17,0.166666666666667,1.6,1.45454545454545,0.4,0.4,2.77555756156289e-16,0.363636363636364,0.25,-0.113636363636363
"1","left_right_width","match",39,3,3,1.05851319991052,1,1,0.9,0.4,0.45,0.45,1.78114450001158,2.4,"Exp1A",0,0.05,1.11022302462516e-16,2.45,1.02083333333333,1.2,1.35,0.15,0.5,0.551020408163265,0.0510204081632651
"1","left_right_width","match",40,5,4,0.96649430016987,0.375,0.5,0.4,0.25,0.35,0.1,4.92461250000633,1.75,"Exp1A",-1,0.1,0.125,1.85,1.05714285714286,1.25,1.4,0.15,0.714285714285714,0.756756756756757,0.0424710424710424
"1","left_right_width","initial",41,5,4,1.05675629992038,0.7,0.6,0.4,0.25,0.25,0.2,4.98117210017517,3.05,"Exp1A",-1,0,-0.1,2.05,0.672131147540984,1.25,1,-0.25,0.409836065573771,0.487804878048781,0.07796881247501
"1","left_right_width","initial",42,4,3,1.62668929994106,0.9,0.9,0.7,0.25,0.15,0.45,6.34494749992155,2.95,"Exp1A",-1,-0.0999999999999999,0,1.95,0.661016949152542,1,0.45,-0.55,0.338983050847458,0.230769230769231,-0.108213820078227
"1","left_right_width","match",43,4,3,0.907228100113571,0.383333333333333,0.5,0.6,0.25,0.3,0.3,1.87531180004589,1.4,"Exp1A",-1,0.05,0.116666666666667,1.3,0.928571428571429,1,0.9,-0.1,0.714285714285714,0.692307692307692,-0.0219780219780221
"1","left_right_width","match",44,4,4,0.99335250002332,0.6,0.6,1.2,0.1,0.1,0.15,8.34235499985516,1.9,"Exp1A",0,-1.38777878078145e-17,0,1.9,1,0.4,0.4,-5.55111512312578e-17,0.210526315789474,0.210526315789474,-2.77555756156289e-17
"1","left_right_width","match",45,5,5,1.47563640004955,0.525,0.65,1,0.1,0.0500000000000001,0.4,9.2528649000451,2.2,"Exp1A",0,-0.0499999999999999,0.125,2.65,1.20454545454545,0.5,0.25,-0.25,0.227272727272727,0.0943396226415096,-0.132933104631218
"1","left_right_width","initial",46,3,2,0.99924959987402,0.9,1.3,1.6,0.25,0.35,0.45,2.9590646000579,2.05,"Exp1A",-1,0.1,0.4,1.65,0.804878048780488,0.75,0.7,-0.0499999999999999,0.365853658536585,0.424242424242424,0.0583887657058388
"1","left_right_width","match",47,3,2,1.43513240013272,1.8,1.9,1.6,0.25,0.3,0.2,4.83147520013154,3.85,"Exp1A",-1,0.05,0.0999999999999999,2.2,0.571428571428571,0.75,0.6,-0.15,0.194805194805195,0.272727272727273,0.0779220779220779
"1","left_right_width","initial",48,4,4,2.42819519992918,0.9,0.8,1.3,0.4,0.3,0.35,3.7661117000971,3.1,"Exp1A",0,-0.1,-0.1,2.7,0.870967741935484,1.6,1.2,-0.4,0.516129032258065,0.444444444444444,-0.0716845878136201
"1","left_right_width","match",49,4,4,0.99808119982481,0.466666666666667,0.5,0.7,0.1,0.1,0.4,3.29360279999673,1.5,"Exp1A",0,6.93889390390723e-17,0.0333333333333333,1.6,1.06666666666667,0.4,0.4,2.77555756156289e-16,0.266666666666667,0.25,-0.0166666666666665
"1","left_right_width","initial",50,4,3,1.18610000004992,0.9,1.05,1.3,0.1,0.1,0.4,5.66522550000809,2.8,"Exp1A",-1,6.93889390390723e-17,0.15,2.2,0.785714285714286,0.4,0.3,-0.0999999999999998,0.142857142857143,0.136363636363636,-0.00649350649350641
"1","left_right_width","initial",51,5,5,1.78310500015505,0.9,0.85,0.8,0.25,0.15,0.25,3.19685070007108,3.85,"Exp1A",0,-0.1,-0.05,3.55,0.922077922077922,1.25,0.75,-0.5,0.324675324675325,0.211267605633803,-0.113407719041522
"1","left_right_width","initial",52,3,2,0.999651100020856,0.7,0.8,1.6,0.4,0.5,0.1,6.0314301000908,1.8,"Exp1A",-1,0.0999999999999999,0.1,1.3,0.722222222222222,1.2,1,-0.2,0.666666666666667,0.769230769230769,0.102564102564102
"1","left_right_width","initial",53,5,4,1.01467720000073,0.7,0.8,1.1,0.4,0.5,0.15,8.26961109996773,3.2,"Exp1A",-1,0.0999999999999999,0.1,2.9,0.90625,2,2,-2.22044604925031e-16,0.625,0.689655172413793,0.0646551724137929
"1","left_right_width","initial",54,3,2,1.11946600000374,0.9,1.5,1.6,0.1,0.1,0.1,4.83249770011753,1.9,"Exp1A",-1,1.38777878078145e-17,0.6,1.6,0.842105263157895,0.3,0.2,-0.1,0.157894736842105,0.125,-0.0328947368421053
"1","left_right_width","match",1,4,3,1.09546769992448,0.6,0.6,0.4,0.25,0.25,0.25,3.96054459991865,2.05,"Exp1A",-1,0,1.11022302462516e-16,1.45,0.707317073170732,1,0.75,-0.25,0.487804878048781,0.517241379310345,0.0294365012615643
"1","left_right_width","match",2,5,4,0.696975100087002,0.4125,0.6,0.7,0.25,0.25,0.1,2.13931869994849,1.9,"Exp1A",-1,0,0.1875,2.05,1.07894736842105,1.25,1,-0.25,0.657894736842105,0.487804878048781,-0.170089858793325
"1","left_right_width","initial",3,4,4,0.735368900001049,0.9,0.8,0.5,0.1,0.1,0.3,4.57628379995003,2.8,"Exp1A",0,1.38777878078145e-17,-0.1,2.5,0.892857142857143,0.4,0.4,5.55111512312578e-17,0.142857142857143,0.16,0.0171428571428572
"1","left_right_width","initial",4,3,2,1.11599460011348,0.7,1.1,1.6,0.25,0.3,0.45,5.00464840000495,1.65,"Exp1A",-1,0.05,0.4,1.4,0.848484848484849,0.75,0.6,-0.15,0.454545454545455,0.428571428571429,-0.025974025974026
"1","left_right_width","match",6,3,2,0.908857499947771,1.4,1.9,1.6,0.25,0.15,0.25,2.79199289996177,3.05,"Exp1A",-1,-0.1,0.5,2.05,0.672131147540984,0.75,0.3,-0.45,0.245901639344262,0.146341463414634,-0.0995601759296281
"1","left_right_width","initial",7,3,2,1.03983850008808,0.5,0.7,1.6,0.4,0.45,0.25,7.34726330009289,1.4,"Exp1A",-1,0.0499999999999999,0.2,1.15,0.821428571428571,1.2,0.9,-0.3,0.857142857142857,0.782608695652174,-0.0745341614906833
"1","left_right_width","match",8,3,2,1.11219300003722,1.8,2.7,1.6,0.1,0.0500000000000001,0.45,5.56159040005878,3.7,"Exp1A",-1,-0.0499999999999999,0.9,2.75,0.743243243243243,0.3,0.1,-0.2,0.0810810810810811,0.0363636363636364,-0.0447174447174447
"1","left_right_width","initial",9,4,3,2.12675270019099,0.9,1,0.8,0.4,0.35,0.15,4.39126689988188,3.1,"Exp1A",-1,-0.05,0.1,2.35,0.758064516129032,1.6,1.05,-0.55,0.516129032258065,0.446808510638298,-0.0693205216197667
"1","left_right_width","initial",10,5,4,2.68746259994805,0.9,1,0.7,0.1,0.1,0.1,1.74554969999008,3.7,"Exp1A",-1,0,0.1,3.1,0.837837837837838,0.5,0.4,-0.1,0.135135135135135,0.129032258064516,-0.00610287707061899
"1","left_right_width","initial",11,4,4,0.889356400119141,0.9,0.7,1.1,0.25,0.2,0.1,3.07560229999945,2.95,"Exp1A",0,-0.05,-0.2,2.3,0.779661016949152,1,0.8,-0.2,0.338983050847458,0.347826086956522,0.00884303610906417
"1","left_right_width","match",12,3,3,1.13193739997223,1.475,1.05,0.9,0.25,0.2,0.2,1.91832149983384,3.2,"Exp1A",0,-0.05,-0.425,2.3,0.71875,0.75,0.6,-0.15,0.234375,0.260869565217391,0.0264945652173913
"1","left_right_width","match",13,5,4,0.749981800094247,0.375,0.4,0.5,0.1,0.1,0.25,2.76646910002455,1.6,"Exp1A",-1,1.38777878078145e-17,0.025,1.3,0.8125,0.5,0.4,-0.0999999999999999,0.3125,0.307692307692308,-0.00480769230769229
"1","left_right_width","match",14,3,3,1.38505619997159,1,0.8,1.2,0.25,0.15,0.25,3.79208920011297,2.25,"Exp1A",0,-0.1,-0.2,1.75,0.777777777777778,0.75,0.45,-0.3,0.333333333333333,0.257142857142857,-0.0761904761904761
