amount_p,posx1_p,posx2_p,posx3_p,posx4_p,posx5_p,center_to_center_p,edge_to_edge_p,w_p,stim_length_p,eccentricity_p,line1_p,line2_p,line3_p,line4_p,line5_p,amount,posx1,posx2,posx3,posx4,posx5,center_to_center,edge_to_edge,w,stim_length,eccentricity,trial_type,deg_to_pix_index,posx1_in_pix,posx2_in_pix,posx3_in_pix,posx4_in_pix,posx5_in_pix,line1,line2,line3,line4,line5,posx,setsize_cobdi,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,first.thisRepN,first.thisTrialN,first.thisN,first.thisIndex,second.thisRepN,second.thisTrialN,second.thisN,second.thisIndex,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,key_resp.keys,key_resp.rt,response,starting_width_deg,starting_space_deg,response_width_degree,response_spacing_degree,response_width_pixel,response_spacing_pixel,next_5.keys,next_5.rt,key_resp_4.keys,key_resp_4.rt,text_3.started,text_4.started,key_resp_2.started,text_2.started,key_resp_2.keys,key_resp_2.rt,adjusting.started,next.keys,next.rt,text_control2.started,key_resp.started,key_resp.corr,text_bye.started,text_bye.stopped,participant,age,gender,resp_group,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.25220009998884,c,238.58288910007104,,,,,,,,,,,,,,,,,,,,,,,,,,,,903,24,female,left_right_width,2024-10-15_12h39.46.065,exp1,2023.1.0,59.99703615178415,
3,9.5,10,10.5,0,0,0.5,0.25,0.25,1.25,10,9,9,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,num_3,3.747723100008443,num_3,0.25,1.1,0.25,0.95,9.55138,36.29523,return,20.844107799930498,,,,,,,,,,,,,,,,,903,24,female,left_right_width,2024-10-15_12h39.46.065,exp1,2023.1.0,59.99703615178415,
5,8.2,9.1,10,10.9,11.8,0.9,0.35,0.55,4.15,10,9,9,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,2,,,,,,,,,,,,,,,,,,,,num_4,2.269900399958715,num_4,0.35,0.4,0.44999999999999996,0.7,17.19248,26.74385,return,7.550967499963008,,,,,,,,,,,,,,,,,903,24,female,left_right_width,2024-10-15_12h39.46.065,exp1,2023.1.0,59.99703615178415,
4,9.25,9.75,10.25,10.75,0,0.5,0.25,0.25,1.75,10,9,9,9,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,1,,,,,,,,,,,,,,,,,,,,num_4,2.5253820999059826,num_4,0.25,0.7,0.15000000000000002,0.5,5.73083,19.10275,return,5.599344399990514,,,,,,,,,,,,,,,,,903,24,female,left_right_width,2024-10-15_12h39.46.065,exp1,2023.1.0,59.99703615178415,
3,9.1,10,10.9,0,0,0.9,0.35,0.55,2.35,10,9,9,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,num_4,1.9828844999428838,num_4,0.55,0.9,0.55,0.9,21.01303,34.38495,return,3.3361258999211714,,,,,,,,,,,,,,,,,903,24,female,left_right_width,2024-10-15_12h39.46.065,exp1,2023.1.0,59.99703615178415,
5,9,9.5,10,10.5,11,0.5,0.1,0.4,2.4,10,9,9,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,5,,,,,,,,,,,,,,,,,,,,num_4,4.001336900051683,num_4,0.5,1.2,0.6000000000000001,0.8,22.9233,30.5644,return,6.140770000056364,,,,,,,,,,,,,,,,,903,24,female,left_right_width,2024-10-15_12h39.46.065,exp1,2023.1.0,59.99703615178415,
4,9.25,9.75,10.25,10.75,0,0.5,0.1,0.4,1.9000000000000001,10,9,9,9,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,4,,,,,,,,,,,,,,,,,,,,num_1,2.4393271999433637,num_1,0.4,9999,0.45,9999,17.19248,382016.8345,return,17.85593560000416,,,,,,,,,,,,,,,,,903,24,female,left_right_width,2024-10-15_12h39.46.065,exp1,2023.1.0,59.99703615178415,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,201.17605449992698,,,,,,,,,,,,,,,903,24,female,left_right_width,2024-10-15_12h39.46.065,exp1,2023.1.0,59.99703615178415,
,,,,,,,,,,,,,,,,4,8.65,9.55,10.45,11.35,0,0.9,0.35,0.55,3.25,10,initial,36.05,312,344,377,409,0,9,9,9,9,0,,,,,,,0,0,0,0,0,0,0,38,,,,,,,,,,,,num_4,3.11301609990187,num_4,0.5,1.2,0.55,0.8,21.01303,30.5644,return,8.567870499915443,,,,,,,,,,,,,,,,,903,24,female,left_right_width,2024-10-15_12h39.46.065,exp1,2023.1.0,59.99703615178415,
,,,,,,,,,,,,,,,,3,9.1,10,10.9,0,0,0.9,0.35,0.55,2.35,10,initial,36.05,328,361,393,0,0,9,9,9,0,0,,,,,,,0,0,0,0,0,1,1,33,,,,,,,,,,,,num_4,2.3435073000146076,num_4,0.45,1.2,0.45,0.7,17.19248,26.74385,return,4.645072999992408,,,,,,,,,,,,,,,,,903,24,female,left_right_width,2024-10-15_12h39.46.065,exp1,2023.1.0,59.99703615178415,
,,,,,,,,,,,,,,,,3,9.1,10,10.9,0,0,0.9,0.35,0.55,2.35,10,initial,36.05,328,361,393,0,0,9,9,9,0,0,,,,,,,0,0,0,0,0,2,2,31,,,,,,,,,,,,num_4,1.7403724000323564,num_4,0.5,1.2,0.7500000000000002,0.9,28.65413,34.38495,return,8.514721399988048,,,,,,,,,,,,,,,,,903,24,female,left_right_width,2024-10-15_12h39.46.065,exp1,2023.1.0,59.99703615178415,
,,,,,,,,,,,,,,,,3,9.1,10,10.9,0,0,0.9,0.35,0.55,2.35,10,initial,36.05,328,361,393,0,0,9,9,9,0,0,,,,,,,0,0,0,0,0,3,3,6,,,,,,,,,,,,num_4,1.6194570999359712,num_4,0.5,1.2,0.35000000000000003,0.7,13.37193,26.74385,return,7.198611400090158,,,,,,,,,,,,,,,,,903,24,female,left_right_width,2024-10-15_12h39.46.065,exp1,2023.1.0,59.99703615178415,
,,,,,,,,,,,,,,,,5,8.2,9.1,10,10.9,11.8,0.9,0.35,0.55,4.15,10,initial,36.05,296,328,361,393,425,9,9,9,9,9,,,,,,,0,0,0,0,0,4,4,20,,,,,,,,,,,,num_5,2.555523799965158,num_5,0.25,1.2,0.5499999999999999,0.8,21.01303,30.5644,return,8.574948200024664,,,,,,,,,,,,,,,,,903,24,female,left_right_width,2024-10-15_12h39.46.065,exp1,2023.1.0,59.99703615178415,
,,,,,,,,,,,,,,,,4,8.65,9.55,10.45,11.35,0,0.9,0.35,0.55,3.25,10,initial,36.05,312,344,377,409,0,9,9,9,9,0,,,,,,,0,0,0,0,0,5,5,17,,,,,,,,,,,,num_5,4.0465920000569895,num_5,0.3,1.3,0.5499999999999999,0.8,21.01303,30.5644,return,14.821188200032339,,,,,,,,,,,,,,,,,903,24,female,left_right_width,2024-10-15_12h39.46.065,exp1,2023.1.0,59.99703615178415,
,,,,,,,,,,,,,,,,5,8.2,9.1,10,10.9,11.8,0.9,0.35,0.55,4.15,10,initial,36.05,296,328,361,393,425,9,9,9,9,9,,,,,,,0,0,0,0,0,6,6,53,,,,,,,,,,,,num_5,1.7932925999630243,num_5,0.35,1.3,0.7500000000000001,1.1,28.65413,42.02605,return,10.680566400056705,,,,,,,,,,,,,,,,,903,24,female,left_right_width,2024-10-15_12h39.46.065,exp1,2023.1.0,59.99703615178415,
,,,,,,,,,,,,,,,,3,9.1,10,10.9,0,0,0.9,0.35,0.55,2.35,10,initial,36.05,328,361,393,0,0,9,9,9,0,0,,,,,,,0,0,0,0,0,7,7,30,,,,,,,,,,,,num_4,3.06660370004829,num_4,0.45,1.1,0.5,0.7,19.10275,26.74385,return,6.255076100002043,,,,,,,,,,,,,,,,,903,24,female,left_right_width,2024-10-15_12h39.46.065,exp1,2023.1.0,59.99703615178415,
,,,,,,,,,,,,,,,,5,8.2,9.1,10,10.9,11.8,0.9,0.35,0.55,4.15,10,initial,36.05,296,328,361,393,425,9,9,9,9,9,,,,,,,0,0,0,0,0,8,8,45,,,,,,,,,,,,num_6,2.6108510000631213,num_6,0.35,0.4,0.49999999999999994,0.7,19.10275,26.74385,return,12.904409000067972,,,,,,,,,,,,,,,,,903,24,female,left_right_width,2024-10-15_12h39.46.065,exp1,2023.1.0,59.99703615178415,
,,,,,,,,,,,,,,,,3,9.1,10,10.9,0,0,0.9,0.35,0.55,2.35,10,initial,36.05,328,361,393,0,0,9,9,9,0,0,,,,,,,0,0,0,0,0,9,9,28,,,,,,,,,,,,num_4,2.2297085999744013,num_4,0.3,0.9,0.35,0.5,13.37193,19.10275,return,6.48905079998076,,,,,,,,,,,,,,,,,903,24,female,left_right_width,2024-10-15_12h39.46.065,exp1,2023.1.0,59.99703615178415,
,,,,,,,,,,,,,,,,4,8.65,9.55,10.45,11.35,0,0.9,0.35,0.55,3.25,10,initial,36.05,312,344,377,409,0,9,9,9,9,0,,,,,,,0,0,0,0,0,10,10,13,,,,,,,,,,,,num_4,2.5325957000022754,num_4,0.4,1.3,0.7000000000000002,1.1,26.74385,42.02605,return,5.870933800004423,,,,,,,,,,,,,,,,,903,24,female,left_right_width,2024-10-15_12h39.46.065,exp1,2023.1.0,59.99703615178415,
,,,,,,,,,,,,,,,,4,8.65,9.55,10.45,11.35,0,0.9,0.35,0.55,3.25,10,initial,36.05,312,344,377,409,0,9,9,9,9,0,,,,,,,0,0,0,0,0,11,11,36,,,,,,,,,,,,num_4,2.352159900008701,num_4,0.5,1.2,0.4,0.7,15.2822,26.74385,return,13.730468199937604,,,,,,,,,,,,,,,,,903,24,female,left_right_width,2024-10-15_12h39.46.065,exp1,2023.1.0,59.99703615178415,
,,,,,,,,,,,,,,,,5,8.2,9.1,10,10.9,11.8,0.9,0.35,0.55,4.15,10,initial,36.05,296,328,361,393,425,9,9,9,9,9,,,,,,,0,0,0,0,0,12,12,21,,,,,,,,,,,,num_6,2.8827582999365404,num_6,0.2,1.0,0.5499999999999999,0.8,21.01303,30.5644,return,13.423056400031783,,,,,,,,,,,,,,,,,903,24,female,left_right_width,2024-10-15_12h39.46.065,exp1,2023.1.0,59.99703615178415,
,,,,,,,,,,,,,,,,3,9.1,10,10.9,0,0,0.9,0.35,0.55,2.35,10,initial,36.05,328,361,393,0,0,9,9,9,0,0,,,,,,,0,0,0,0,0,13,13,4,,,,,,,,,,,,num_3,2.4958532000891864,num_3,0.3,1.3,0.8000000000000002,1.35,30.5644,51.57743,return,10.934039500076324,,,,,,,,,,,,,,,,,903,24,female,left_right_width,2024-10-15_12h39.46.065,exp1,2023.1.0,59.99703615178415,
,,,,,,,,,,,,,,,,5,8.2,9.1,10,10.9,11.8,0.9,0.35,0.55,4.15,10,initial,36.05,296,328,361,393,425,9,9,9,9,9,,,,,,,0,0,0,0,0,14,14,52,,,,,,,,,,,,num_6,2.082864600000903,num_6,0.3,1.0,0.6,1.0,22.9233,38.2055,return,12.892170200007968,,,,,,,,,,,,,,,,,903,24,female,left_right_width,2024-10-15_12h39.46.065,exp1,2023.1.0,59.99703615178415,
,,,,,,,,,,,,,,,,5,8.2,9.1,10,10.9,11.8,0.9,0.35,0.55,4.15,10,initial,36.05,296,328,361,393,425,9,9,9,9,9,,,,,,,0,0,0,0,0,15,15,24,,,,,,,,,,,,num_7,4.171895900042728,num_7,0.3,0.4,0.44999999999999996,0.65,17.19248,24.83358,return,11.822928600013256,,,,,,,,,,,,,,,,,903,24,female,left_right_width,2024-10-15_12h39.46.065,exp1,2023.1.0,59.99703615178415,
,,,,,,,,,,,,,,,,3,9.1,10,10.9,0,0,0.9,0.35,0.55,2.35,10,initial,36.05,328,361,393,0,0,9,9,9,0,0,,,,,,,0,0,0,0,0,16,16,2,,,,,,,,,,,,num_4,2.385007100063376,num_4,0.3,0.9,0.5499999999999999,0.8,21.01303,30.5644,return,7.041889199987054,,,,,,,,,,,,,,,,,903,24,female,left_right_width,2024-10-15_12h39.46.065,exp1,2023.1.0,59.99703615178415,
,,,,,,,,,,,,,,,,5,8.2,9.1,10,10.9,11.8,0.9,0.35,0.55,4.15,10,initial,36.05,296,328,361,393,425,9,9,9,9,9,,,,,,,0,0,0,0,0,17,17,22,,,,,,,,,,,,num_7,3.259126100107096,num_7,0.3,0.8,0.49999999999999994,0.8,19.10275,30.5644,return,6.481681399978697,,,,,,,,,,,,,,,,,903,24,female,left_right_width,2024-10-15_12h39.46.065,exp1,2023.1.0,59.99703615178415,
,,,,,,,,,,,,,,,,4,8.65,9.55,10.45,11.35,0,0.9,0.35,0.55,3.25,10,initial,36.05,312,344,377,409,0,9,9,9,9,0,,,,,,,0,0,0,0,0,18,18,16,,,,,,,,,,,,num_5,2.155295299948193,num_5,0.35,0.6,0.6,0.8,22.9233,30.5644,return,9.50761489989236,,,,,,,,,,,,,,,,,903,24,female,left_right_width,2024-10-15_12h39.46.065,exp1,2023.1.0,59.99703615178415,
,,,,,,,,,,,,,,,,5,8.2,9.1,10,10.9,11.8,0.9,0.35,0.55,4.15,10,initial,36.05,296,328,361,393,425,9,9,9,9,9,,,,,,,0,0,0,0,0,19,19,49,,,,,,,,,,,,num_5,5.659004300017841,num_5,0.3,1.1,0.6,1.05,22.9233,40.11578,return,13.181674399995245,,,,,,,,,,,,,,,,,903,24,female,left_right_width,2024-10-15_12h39.46.065,exp1,2023.1.0,59.99703615178415,
,,,,,,,,,,,,,,,,4,8.65,9.55,10.45,11.35,0,0.9,0.35,0.55,3.25,10,initial,36.05,312,344,377,409,0,9,9,9,9,0,,,,,,,0,0,0,0,0,20,20,15,,,,,,,,,,,,num_5,3.4971879000077024,num_5,0.25,0.7,0.49999999999999994,0.7,19.10275,26.74385,return,7.56466689996887,,,,,,,,,,,,,,,,,903,24,female,left_right_width,2024-10-15_12h39.46.065,exp1,2023.1.0,59.99703615178415,
,,,,,,,,,,,,,,,,3,9.1,10,10.9,0,0,0.9,0.35,0.55,2.35,10,initial,36.05,328,361,393,0,0,9,9,9,0,0,,,,,,,0,0,0,0,0,21,21,34,,,,,,,,,,,,num_4,1.270414000027813,num_4,0.25,0.3,0.6,0.8,22.9233,30.5644,return,7.873684799997136,,,,,,,,,,,,,,,,,903,24,female,left_right_width,2024-10-15_12h39.46.065,exp1,2023.1.0,59.99703615178415,
,,,,,,,,,,,,,,,,5,8.2,9.1,10,10.9,11.8,0.9,0.35,0.55,4.15,10,initial,36.05,296,328,361,393,425,9,9,9,9,9,,,,,,,0,0,0,0,0,22,22,25,,,,,,,,,,,,num_5,1.7695106000173837,num_5,0.45,0.9,0.6000000000000001,0.8,22.9233,30.5644,return,8.062647299957462,,,,,,,,,,,,,,,,,903,24,female,left_right_width,2024-10-15_12h39.46.065,exp1,2023.1.0,59.99703615178415,
,,,,,,,,,,,,,,,,4,8.65,9.55,10.45,11.35,0,0.9,0.35,0.55,3.25,10,initial,36.05,312,344,377,409,0,9,9,9,9,0,,,,,,,0,0,0,0,0,23,23,14,,,,,,,,,,,,num_6,1.9361916999332607,num_6,0.4,1.0,0.7000000000000002,0.9,26.74385,34.38495,return,13.182022399967536,,,,,,,,,,,,,,,,,903,24,female,left_right_width,2024-10-15_12h39.46.065,exp1,2023.1.0,59.99703615178415,
,,,,,,,,,,,,,,,,4,8.65,9.55,10.45,11.35,0,0.9,0.35,0.55,3.25,10,initial,36.05,312,344,377,409,0,9,9,9,9,0,,,,,,,0,0,0,0,0,24,24,11,,,,,,,,,,,,num_5,4.704267700086348,num_5,0.5,0.9,0.5,0.75,19.10275,28.65413,return,5.196114600053988,,,,,,,,,,,,,,,,,903,24,female,left_right_width,2024-10-15_12h39.46.065,exp1,2023.1.0,59.99703615178415,
,,,,,,,,,,,,,,,,3,9.1,10,10.9,0,0,0.9,0.35,0.55,2.35,10,initial,36.05,328,361,393,0,0,9,9,9,0,0,,,,,,,0,0,0,0,0,25,25,35,,,,,,,,,,,,num_3,2.4159140000119805,num_3,0.25,0.3,0.65,0.85,24.83358,32.47468,return,15.755240999977104,,,,,,,,,,,,,,,,,903,24,female,left_right_width,2024-10-15_12h39.46.065,exp1,2023.1.0,59.99703615178415,
,,,,,,,,,,,,,,,,4,8.65,9.55,10.45,11.35,0,0.9,0.35,0.55,3.25,10,initial,36.05,312,344,377,409,0,9,9,9,9,0,,,,,,,0,0,0,0,0,26,26,12,,,,,,,,,,,,num_5,3.626491699949838,num_5,0.3,0.8,0.5499999999999999,0.9,21.01303,34.38495,return,7.432256700005382,,,,,,,,,,,,,,,,,903,24,female,left_right_width,2024-10-15_12h39.46.065,exp1,2023.1.0,59.99703615178415,
,,,,,,,,,,,,,,,,4,8.65,9.55,10.45,11.35,0,0.9,0.35,0.55,3.25,10,initial,36.05,312,344,377,409,0,9,9,9,9,0,,,,,,,0,0,0,0,0,27,27,44,,,,,,,,,,,,num_4,1.2949743999633938,num_4,0.45,0.6,0.45,0.7,17.19248,26.74385,return,7.01677510002628,,,,,,,,,,,,,,,,,903,24,female,left_right_width,2024-10-15_12h39.46.065,exp1,2023.1.0,59.99703615178415,
,,,,,,,,,,,,,,,,4,8.65,9.55,10.45,11.35,0,0.9,0.35,0.55,3.25,10,initial,36.05,312,344,377,409,0,9,9,9,9,0,,,,,,,0,0,0,0,0,28,28,39,,,,,,,,,,,,num_5,4.51213110005483,num_5,0.3,0.4,0.5499999999999999,0.85,21.01303,32.47468,return,9.588861700030975,,,,,,,,,,,,,,,,,903,24,female,left_right_width,2024-10-15_12h39.46.065,exp1,2023.1.0,59.99703615178415,
,,,,,,,,,,,,,,,,3,9.1,10,10.9,0,0,0.9,0.35,0.55,2.35,10,initial,36.05,328,361,393,0,0,9,9,9,0,0,,,,,,,0,0,0,0,0,29,29,5,,,,,,,,,,,,num_4,1.6826569000259042,num_4,0.4,0.9,0.7000000000000002,0.9,26.74385,34.38495,return,8.825995499966666,,,,,,,,,,,,,,,,,903,24,female,left_right_width,2024-10-15_12h39.46.065,exp1,2023.1.0,59.99703615178415,
,,,,,,,,,,,,,,,,3,9.1,10,10.9,0,0,0.9,0.35,0.55,2.35,10,initial,36.05,328,361,393,0,0,9,9,9,0,0,,,,,,,0,0,0,0,0,30,30,1,,,,,,,,,,,,num_4,2.656406700029038,num_4,0.5,1.2,0.7500000000000002,1.0,28.65413,38.2055,return,17.823930499958806,,,,,,,,,,,,,,,,,903,24,female,left_right_width,2024-10-15_12h39.46.065,exp1,2023.1.0,59.99703615178415,
,,,,,,,,,,,,,,,,5,8.2,9.1,10,10.9,11.8,0.9,0.35,0.55,4.15,10,initial,36.05,296,328,361,393,425,9,9,9,9,9,,,,,,,0,0,0,0,0,31,31,51,,,,,,,,,,,,num_7,3.6731064000632614,num_7,0.4,0.9,0.5,0.65,19.10275,24.83358,return,6.314940999960527,,,,,,,,,,,,,,,,,903,24,female,left_right_width,2024-10-15_12h39.46.065,exp1,2023.1.0,59.99703615178415,
,,,,,,,,,,,,,,,,5,8.2,9.1,10,10.9,11.8,0.9,0.35,0.55,4.15,10,initial,36.05,296,328,361,393,425,9,9,9,9,9,,,,,,,0,0,0,0,0,32,32,26,,,,,,,,,,,,num_6,2.6563786000479013,num_6,0.2,0.4,0.39999999999999997,0.6,15.2822,22.9233,return,9.49309580004774,,,,,,,,,,,,,,,,,903,24,female,left_right_width,2024-10-15_12h39.46.065,exp1,2023.1.0,59.99703615178415,
,,,,,,,,,,,,,,,,4,8.65,9.55,10.45,11.35,0,0.9,0.35,0.55,3.25,10,initial,36.05,312,344,377,409,0,9,9,9,9,0,,,,,,,0,0,0,0,0,33,33,41,,,,,,,,,,,,num_4,1.4234883000608534,num_4,0.55,0.6,0.55,1.0,21.01303,38.2055,return,5.798476299969479,,,,,,,,,,,,,,,,,903,24,female,left_right_width,2024-10-15_12h39.46.065,exp1,2023.1.0,59.99703615178415,
,,,,,,,,,,,,,,,,4,8.65,9.55,10.45,11.35,0,0.9,0.35,0.55,3.25,10,initial,36.05,312,344,377,409,0,9,9,9,9,0,,,,,,,0,0,0,0,0,34,34,37,,,,,,,,,,,,num_5,2.1368574999505654,num_5,0.2,0.8,0.39999999999999997,0.55,15.2822,21.01303,return,9.120930999983102,,,,,,,,,,,,,,,,,903,24,female,left_right_width,2024-10-15_12h39.46.065,exp1,2023.1.0,59.99703615178415,
,,,,,,,,,,,,,,,,3,9.1,10,10.9,0,0,0.9,0.35,0.55,2.35,10,initial,36.05,328,361,393,0,0,9,9,9,0,0,,,,,,,0,0,0,0,0,35,35,7,,,,,,,,,,,,num_3,2.0606015999801457,num_3,0.55,1.2,0.7500000000000002,1.1,28.65413,42.02605,return,5.337056400021538,,,,,,,,,,,,,,,,,903,24,female,left_right_width,2024-10-15_12h39.46.065,exp1,2023.1.0,59.99703615178415,
,,,,,,,,,,,,,,,,5,8.2,9.1,10,10.9,11.8,0.9,0.35,0.55,4.15,10,initial,36.05,296,328,361,393,425,9,9,9,9,9,,,,,,,0,0,0,0,0,36,36,50,,,,,,,,,,,,num_6,2.0456931000808254,num_6,0.2,1.2,0.8000000000000002,1.0,30.5644,38.2055,return,10.713787799933925,,,,,,,,,,,,,,,,,903,24,female,left_right_width,2024-10-15_12h39.46.065,exp1,2023.1.0,59.99703615178415,
,,,,,,,,,,,,,,,,3,9.1,10,10.9,0,0,0.9,0.35,0.55,2.35,10,initial,36.05,328,361,393,0,0,9,9,9,0,0,,,,,,,0,0,0,0,0,37,37,3,,,,,,,,,,,,num_3,2.38975680002477,num_3,0.55,1.3,0.8500000000000003,1.3,32.47468,49.66716,return,6.3722190000116825,,,,,,,,,,,,,,,,,903,24,female,left_right_width,2024-10-15_12h39.46.065,exp1,2023.1.0,59.99703615178415,
