amount_p,posx1_p,posx2_p,posx3_p,posx4_p,posx5_p,center_to_center_p,edge_to_edge_p,w_p,stim_length_p,eccentricity_p,line1_p,line2_p,line3_p,line4_p,line5_p,amount,posx1,posx2,posx3,posx4,posx5,center_to_center,edge_to_edge,w,stim_length,eccentricity,trial_type,deg_to_pix_index,posx1_in_pix,posx2_in_pix,posx3_in_pix,posx4_in_pix,posx5_in_pix,line1,line2,line3,line4,line5,posx,setsize_cobdi,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,first.thisRepN,first.thisTrialN,first.thisN,first.thisIndex,second.thisRepN,second.thisTrialN,second.thisN,second.thisIndex,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,key_resp.keys,key_resp.rt,response,starting_width_deg,starting_space_deg,response_width_degree,response_spacing_degree,response_width_pixel,response_spacing_pixel,next_5.keys,next_5.rt,key_resp_4.keys,key_resp_4.rt,text_3.started,text_4.started,key_resp_2.started,text_2.started,key_resp_2.keys,key_resp_2.rt,adjusting.started,next.keys,next.rt,text_control2.started,key_resp.started,key_resp.corr,text_bye.started,text_bye.stopped,participant,age,gender,resp_group,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.64221950000501,c,270.7232382999937,,,,,,,,,,,,,,,,,,,,,,,,,,,,901,18,male,left_right_width,2024-10-10_08h59.57.849,exp1,2023.1.0,59.979223197731365,
4,9.25,9.75,10.25,10.75,0,0.5,0.1,0.4,1.9000000000000001,10,9,9,9,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,4,,,,,,,,,,,,,,,,,,,,num_3,6.503563399994164,num_3,0.35,1,0.15000000000000002,0.3,5.73083,11.46165,return,13.425860000003013,,,,,,,,,,,,,,,,,901,18,male,left_right_width,2024-10-10_08h59.57.849,exp1,2023.1.0,59.979223197731365,
4,9.25,9.75,10.25,10.75,0,0.5,0.25,0.25,1.75,10,9,9,9,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,num_3,2.9629775999928825,num_3,0.2,0.9,0.2,0.9,7.6411,34.38495,return,2.9527571000071475,,,,,,,,,,,,,,,,,901,18,male,left_right_width,2024-10-10_08h59.57.849,exp1,2023.1.0,59.979223197731365,
5,9,9.5,10,10.5,11,0.5,0.1,0.4,2.4,10,9,9,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,5,,,,,,,,,,,,,,,,,,,,num_4,5.75261799999862,num_4,0.4,1.1,0.4,0.6,15.2822,22.9233,return,5.072838300009607,,,,,,,,,,,,,,,,,901,18,male,left_right_width,2024-10-10_08h59.57.849,exp1,2023.1.0,59.979223197731365,
5,8.2,9.1,10,10.9,11.8,0.9,0.35,0.55,4.15,10,9,9,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,2,,,,,,,,,,,,,,,,,,,,num_4,4.018470199996955,num_4,0.35,0.4,0.39999999999999997,1.1,15.2822,42.02605,return,6.302392199999304,,,,,,,,,,,,,,,,,901,18,male,left_right_width,2024-10-10_08h59.57.849,exp1,2023.1.0,59.979223197731365,
3,9.5,10,10.5,0,0,0.5,0.25,0.25,1.25,10,9,9,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,0,,,,,,,,,,,,,,,,,,,,num_3,2.7251440999971237,num_3,0.35,1,0.25,0.75,9.55138,28.65413,return,4.979540300002554,,,,,,,,,,,,,,,,,901,18,male,left_right_width,2024-10-10_08h59.57.849,exp1,2023.1.0,59.979223197731365,
3,9.1,10,10.9,0,0,0.9,0.35,0.55,2.35,10,9,9,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,3,,,,,,,,,,,,,,,,,,,,num_3,2.899309499989613,num_3,0.25,0.7,0.39999999999999997,1.0,15.2822,38.2055,return,4.491168299995479,,,,,,,,,,,,,,,,,901,18,male,left_right_width,2024-10-10_08h59.57.849,exp1,2023.1.0,59.979223197731365,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,126.80989799999224,,,,,,,,,,,,,,,901,18,male,left_right_width,2024-10-10_08h59.57.849,exp1,2023.1.0,59.979223197731365,
,,,,,,,,,,,,,,,,4,9.25,9.75,10.25,10.75,0,0.5,0.1,0.4,1.9000000000000001,10,initial,36.05,333,351,370,388,0,9,9,9,9,0,,,,,,,0,0,0,0,0,0,0,13,,,,,,,,,,,,num_3,1.6492457999993348,num_3,0.25,0.3,0.3,0.45,11.46165,17.19248,return,4.597351699994761,,,,,,,,,,,,,,,,,901,18,male,left_right_width,2024-10-10_08h59.57.849,exp1,2023.1.0,59.979223197731365,
,,,,,,,,,,,,,,,,4,9.25,9.75,10.25,10.75,0,0.5,0.1,0.4,1.9000000000000001,10,initial,36.05,333,351,370,388,0,9,9,9,9,0,,,,,,,0,0,0,0,0,1,1,44,,,,,,,,,,,,num_3,1.800763500010362,num_3,0.45,1.1,0.4,0.7,15.2822,26.74385,return,5.068104699996184,,,,,,,,,,,,,,,,,901,18,male,left_right_width,2024-10-10_08h59.57.849,exp1,2023.1.0,59.979223197731365,
