"participant","stim_length","amount","center_to_center","w","trial_type","loop.thisN","response","key_resp.rt","starting_width_deg","starting_space_deg","response_width_degree","response_spacing_degree","next_5.rt","resp_group"
1,1.5,4,0.466666666666667,0.1,"match",48,4,0.99808119982481,0.4,0.7,0.1,0.5,3.29360279999673,"left_right_width"
1,2.8,4,0.9,0.1,"initial",49,3,1.18610000004992,0.4,1.3,0.1,1.05,5.66522550000809,"left_right_width"
1,3.85,5,0.9,0.25,"initial",50,5,1.78310500015505,0.25,0.8,0.15,0.85,3.19685070007108,"left_right_width"
1,1.8,3,0.7,0.4,"initial",51,2,0.999651100020856,0.1,1.6,0.5,0.8,6.0314301000908,"left_right_width"
1,3.2,5,0.7,0.4,"initial",52,4,1.01467720000073,0.15,1.1,0.5,0.8,8.26961109996773,"left_right_width"
1,1.9,3,0.9,0.1,"initial",53,2,1.11946600000374,0.1,1.6,0.1,1.5,4.83249770011753,"left_right_width"
1,2.05,4,0.6,0.25,"match",0,3,1.09546769992448,0.25,0.4,0.25,0.6,3.96054459991865,"left_right_width"
1,1.9,5,0.4125,0.25,"match",1,4,0.696975100087002,0.1,0.7,0.25,0.6,2.13931869994849,"left_right_width"
1,2.8,4,0.9,0.1,"initial",2,4,0.735368900001049,0.3,0.5,0.1,0.8,4.57628379995003,"left_right_width"
1,1.65,3,0.7,0.25,"initial",3,2,1.11599460011348,0.45,1.6,0.3,1.1,5.00464840000495,"left_right_width"
1,2.1,3,1,0.1,"match",4,3,0.950733499834314,0.1,0.9,0.1,0.9,0.92734029982239,"left_right_width"
1,3.05,3,1.4,0.25,"match",5,2,0.908857499947771,0.25,1.6,0.15,1.9,2.79199289996177,"left_right_width"
1,1.4,3,0.5,0.4,"initial",6,2,1.03983850008808,0.25,1.6,0.45,0.7,7.34726330009289,"left_right_width"
1,3.7,3,1.8,0.1,"match",7,2,1.11219300003722,0.45,1.6,0.0500000000000001,2.7,5.56159040005878,"left_right_width"
1,3.1,4,0.9,0.4,"initial",8,3,2.12675270019099,0.15,0.8,0.35,1,4.39126689988188,"left_right_width"
1,3.7,5,0.9,0.1,"initial",9,4,2.68746259994805,0.1,0.7,0.1,1,1.74554969999008,"left_right_width"
1,2.95,4,0.9,0.25,"initial",10,4,0.889356400119141,0.1,1.1,0.2,0.7,3.07560229999945,"left_right_width"
1,3.2,3,1.475,0.25,"match",11,3,1.13193739997223,0.2,0.9,0.2,1.05,1.91832149983384,"left_right_width"
1,1.6,5,0.375,0.1,"match",12,4,0.749981800094247,0.25,0.5,0.1,0.4,2.76646910002455,"left_right_width"
1,2.25,3,1,0.25,"match",13,3,1.38505619997159,0.25,1.2,0.15,0.8,3.79208920011297,"left_right_width"
1,2.8,5,0.675,0.1,"match",14,4,2.26578569994308,0.3,0.7,0.1,0.7,4.01327180000953,"left_right_width"
1,1.65,4,0.466666666666667,0.25,"match",15,3,1.00881840009242,0.15,0.5,0.3,0.5,1.65385639993474,"left_right_width"
1,1.75,4,0.5,0.25,"initial",16,3,0.933273300062865,0.15,0.3,0.25,0.45,2.81543289986439,"left_right_width"
1,2.1,5,0.5,0.1,"initial",17,4,0.847747099818662,0.2,1.2,0.1,0.5,4.7482108999975,"left_right_width"
1,2.25,5,0.5,0.25,"initial",18,5,3.34923040005378,0.2,0.8,0.2,0.45,4.38231900008395,"left_right_width"
1,4,3,1.8,0.4,"match",19,2,0.876184300053865,0.4,1.6,0.4,4.1,7.70309289987199,"left_right_width"
1,1.8,3,0.7,0.4,"initial",20,2,0.864854499930516,0.3,1.6,0.4,0.8,8.09136560000479,"left_right_width"
1,3.05,5,0.7,0.25,"initial",21,4,1.0239338001702,0.4,0.7,0.25,0.6,13.573447200004,"left_right_width"
1,2.35,5,0.525,0.25,"match",22,4,0.783489999826998,0.1,0.4,0.35,0.7,9.11866240017116,"left_right_width"
1,1.25,4,0.333333333333333,0.25,"match",23,3,1.07543399999849,0.25,0.3,0.25,0.35,2.24677970004268,"left_right_width"
1,3.1,5,0.675,0.4,"match",24,4,0.970006000017747,0.4,0.5,0.4,0.7,1.87345189996995,"left_right_width"
1,1.1,3,0.5,0.1,"initial",25,2,0.669487399980426,0.45,1.6,0.0500000000000001,0.5,6.41799629991874,"left_right_width"
1,2.95,5,0.675,0.25,"match",26,4,0.727418900001794,0.4,0.9,0.25,0.7,2.48866609996185,"left_right_width"
