amount_p,posx1_p,posx2_p,posx3_p,posx4_p,posx5_p,center_to_center_p,edge_to_edge_p,w_p,stim_length_p,eccentricity_p,line1_p,line2_p,line3_p,line4_p,line5_p,amount,posx1,posx2,posx3,posx4,posx5,center_to_center,edge_to_edge,w,stim_length,eccentricity,trial_type,deg_to_pix_index,posx1_in_pix,posx2_in_pix,posx3_in_pix,posx4_in_pix,posx5_in_pix,line1,line2,line3,line4,line5,posx,setsize_cobdi,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,first.thisRepN,first.thisTrialN,first.thisN,first.thisIndex,second.thisRepN,second.thisTrialN,second.thisN,second.thisIndex,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,key_resp.keys,key_resp.rt,response,starting_width_deg,starting_space_deg,response_width_degree,response_spacing_degree,response_width_pixel,response_spacing_pixel,next_5.keys,next_5.rt,key_resp_4.keys,key_resp_4.rt,text_3.started,text_4.started,key_resp_2.started,text_2.started,key_resp_2.keys,key_resp_2.rt,adjusting.started,next.keys,next.rt,text_control2.started,key_resp.started,key_resp.corr,text_bye.started,text_bye.stopped,participant,age,gender,resp_group,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,369.30225980002433,c,122.33958570007235,,,,,,,,,,,,,,,,,,,,,,,,,,,,915,20,female,left_right_width,2024-10-23_11h41.55.247,exp1,2023.1.0,59.89390395343217,
3,9.1,10,10.9,0,0,0.9,0.35,0.55,2.35,10,9,9,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,3,,,,,,,,,,,,,,,,,,,,num_3,3.498093100031838,num_3,0.25,0.6,0.15000000000000002,0.6,5.73083,22.9233,return,6.5214278001803905,,,,,,,,,,,,,,,,,915,20,female,left_right_width,2024-10-23_11h41.55.247,exp1,2023.1.0,59.89390395343217,
5,9,9.5,10,10.5,11,0.5,0.1,0.4,2.4,10,9,9,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,5,,,,,,,,,,,,,,,,,,,,num_5,2.2571035001892596,num_5,0.25,0.7,0.10000000000000002,0.7,3.82055,26.74385,return,3.281304500065744,,,,,,,,,,,,,,,,,915,20,female,left_right_width,2024-10-23_11h41.55.247,exp1,2023.1.0,59.89390395343217,
4,9.25,9.75,10.25,10.75,0,0.5,0.1,0.4,1.9000000000000001,10,9,9,9,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,4,,,,,,,,,,,,,,,,,,,,num_4,3.5676241002511233,num_4,0.25,0.3,0.25,0.6,9.55138,22.9233,return,15.962806900031865,,,,,,,,,,,,,,,,,915,20,female,left_right_width,2024-10-23_11h41.55.247,exp1,2023.1.0,59.89390395343217,
4,9.25,9.75,10.25,10.75,0,0.5,0.25,0.25,1.75,10,9,9,9,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,1,,,,,,,,,,,,,,,,,,,,num_4,2.373056299984455,num_4,0.45,1.1,0.20000000000000007,0.6,7.6411,22.9233,return,4.714044000022113,,,,,,,,,,,,,,,,,915,20,female,left_right_width,2024-10-23_11h41.55.247,exp1,2023.1.0,59.89390395343217,
5,8.2,9.1,10,10.9,11.8,0.9,0.35,0.55,4.15,10,9,9,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,2,,,,,,,,,,,,,,,,,,,,num_5,2.008911400102079,num_5,0.5,0.8,0.45,0.8,17.19248,30.5644,return,6.599709500093013,,,,,,,,,,,,,,,,,915,20,female,left_right_width,2024-10-23_11h41.55.247,exp1,2023.1.0,59.89390395343217,
3,9.5,10,10.5,0,0,0.5,0.25,0.25,1.25,10,9,9,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,0,,,,,,,,,,,,,,,,,,,,num_3,1.9865700001828372,num_3,0.55,1,0.20000000000000007,0.6,7.6411,22.9233,return,5.151278600096703,,,,,,,,,,,,,,,,,915,20,female,left_right_width,2024-10-23_11h41.55.247,exp1,2023.1.0,59.89390395343217,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,30.498455499997362,,,,,,,,,,,,,,,915,20,female,left_right_width,2024-10-23_11h41.55.247,exp1,2023.1.0,59.89390395343217,
,,,,,,,,,,,,,,,,4,8.65,9.55,10.45,11.35,0,0.9,0.35,0.55,3.25,10,initial,36.05,312,344,377,409,0,9,9,9,9,0,,,,,,,0,0,0,0,0,0,0,44,,,,,,,,,,,,num_4,1.594052900094539,num_4,0.25,0.8,0.44999999999999996,1.1,17.19248,42.02605,return,3.9884970001876354,,,,,,,,,,,,,,,,,915,20,female,left_right_width,2024-10-23_11h41.55.247,exp1,2023.1.0,59.89390395343217,
,,,,,,,,,,,,,,,,3,9.1,10,10.9,0,0,0.9,0.35,0.55,2.35,10,initial,36.05,328,361,393,0,0,9,9,9,0,0,,,,,,,0,0,0,0,0,1,1,30,,,,,,,,,,,,num_3,2.204395800130442,num_3,0.35,0.6,0.3,0.55,11.46165,21.01303,return,4.525003700051457,,,,,,,,,,,,,,,,,915,20,female,left_right_width,2024-10-23_11h41.55.247,exp1,2023.1.0,59.89390395343217,
,,,,,,,,,,,,,,,,5,8.2,9.1,10,10.9,11.8,0.9,0.35,0.55,4.15,10,initial,36.05,296,328,361,393,425,9,9,9,9,9,,,,,,,0,0,0,0,0,2,2,21,,,,,,,,,,,,num_4,1.4236310999840498,num_4,0.5,1.2,0.55,0.9,21.01303,34.38495,return,3.3026232002303004,,,,,,,,,,,,,,,,,915,20,female,left_right_width,2024-10-23_11h41.55.247,exp1,2023.1.0,59.89390395343217,
,,,,,,,,,,,,,,,,3,9.1,10,10.9,0,0,0.9,0.35,0.55,2.35,10,initial,36.05,328,361,393,0,0,9,9,9,0,0,,,,,,,0,0,0,0,0,3,3,7,,,,,,,,,,,,num_3,2.228170100133866,num_3,0.55,1.1,0.45,1.0,17.19248,38.2055,return,3.6852272001560777,,,,,,,,,,,,,,,,,915,20,female,left_right_width,2024-10-23_11h41.55.247,exp1,2023.1.0,59.89390395343217,
,,,,,,,,,,,,,,,,4,8.65,9.55,10.45,11.35,0,0.9,0.35,0.55,3.25,10,initial,36.05,312,344,377,409,0,9,9,9,9,0,,,,,,,0,0,0,0,0,4,4,11,,,,,,,,,,,,num_5,1.587440500035882,num_5,0.25,0.3,0.35,0.55,13.37193,21.01303,return,6.703608799958602,,,,,,,,,,,,,,,,,915,20,female,left_right_width,2024-10-23_11h41.55.247,exp1,2023.1.0,59.89390395343217,
,,,,,,,,,,,,,,,,4,8.65,9.55,10.45,11.35,0,0.9,0.35,0.55,3.25,10,initial,36.05,312,344,377,409,0,9,9,9,9,0,,,,,,,0,0,0,0,0,5,5,15,,,,,,,,,,,,num_4,1.775344500085339,num_4,0.5,0.7,0.4,0.7,15.2822,26.74385,return,4.192700200015679,,,,,,,,,,,,,,,,,915,20,female,left_right_width,2024-10-23_11h41.55.247,exp1,2023.1.0,59.89390395343217,
,,,,,,,,,,,,,,,,3,9.1,10,10.9,0,0,0.9,0.35,0.55,2.35,10,initial,36.05,328,361,393,0,0,9,9,9,0,0,,,,,,,0,0,0,0,0,6,6,27,,,,,,,,,,,,num_3,2.689490200020373,num_3,0.35,0.7,0.35,0.8,13.37193,30.5644,return,4.669388400157914,,,,,,,,,,,,,,,,,915,20,female,left_right_width,2024-10-23_11h41.55.247,exp1,2023.1.0,59.89390395343217,
,,,,,,,,,,,,,,,,5,8.2,9.1,10,10.9,11.8,0.9,0.35,0.55,4.15,10,initial,36.05,296,328,361,393,425,9,9,9,9,9,,,,,,,0,0,0,0,0,7,7,22,,,,,,,,,,,,num_5,1.362104100175202,num_5,0.35,1.2,0.39999999999999997,0.85,15.2822,32.47468,return,5.014428700087592,,,,,,,,,,,,,,,,,915,20,female,left_right_width,2024-10-23_11h41.55.247,exp1,2023.1.0,59.89390395343217,
,,,,,,,,,,,,,,,,5,8.2,9.1,10,10.9,11.8,0.9,0.35,0.55,4.15,10,initial,36.05,296,328,361,393,425,9,9,9,9,9,,,,,,,0,0,0,0,0,8,8,20,,,,,,,,,,,,num_5,1.653893900103867,num_5,0.55,1.3,0.45,0.8,17.19248,30.5644,return,5.2755213000345975,,,,,,,,,,,,,,,,,915,20,female,left_right_width,2024-10-23_11h41.55.247,exp1,2023.1.0,59.89390395343217,
,,,,,,,,,,,,,,,,3,9.1,10,10.9,0,0,0.9,0.35,0.55,2.35,10,initial,36.05,328,361,393,0,0,9,9,9,0,0,,,,,,,0,0,0,0,0,9,9,4,,,,,,,,,,,,num_3,1.682357600191608,num_3,0.35,0.8,0.44999999999999996,0.85,17.19248,32.47468,return,2.7493840001989156,,,,,,,,,,,,,,,,,915,20,female,left_right_width,2024-10-23_11h41.55.247,exp1,2023.1.0,59.89390395343217,
,,,,,,,,,,,,,,,,5,8.2,9.1,10,10.9,11.8,0.9,0.35,0.55,4.15,10,initial,36.05,296,328,361,393,425,9,9,9,9,9,,,,,,,0,0,0,0,0,10,10,52,,,,,,,,,,,,num_5,1.2007931000553071,num_5,0.5,1.3,0.55,0.9,21.01303,34.38495,return,3.7541261001024395,,,,,,,,,,,,,,,,,915,20,female,left_right_width,2024-10-23_11h41.55.247,exp1,2023.1.0,59.89390395343217,
,,,,,,,,,,,,,,,,5,8.2,9.1,10,10.9,11.8,0.9,0.35,0.55,4.15,10,initial,36.05,296,328,361,393,425,9,9,9,9,9,,,,,,,0,0,0,0,0,11,11,24,,,,,,,,,,,,num_5,1.1387231000699103,num_5,0.45,1.0,0.5,0.85,19.10275,32.47468,return,2.576480600051582,,,,,,,,,,,,,,,,,915,20,female,left_right_width,2024-10-23_11h41.55.247,exp1,2023.1.0,59.89390395343217,
,,,,,,,,,,,,,,,,5,8.2,9.1,10,10.9,11.8,0.9,0.35,0.55,4.15,10,initial,36.05,296,328,361,393,425,9,9,9,9,9,,,,,,,0,0,0,0,0,12,12,45,,,,,,,,,,,,num_4,1.2328255001921207,num_4,0.5,0.7,0.4,0.8,15.2822,30.5644,return,4.4301368000451475,,,,,,,,,,,,,,,,,915,20,female,left_right_width,2024-10-23_11h41.55.247,exp1,2023.1.0,59.89390395343217,
,,,,,,,,,,,,,,,,4,8.65,9.55,10.45,11.35,0,0.9,0.35,0.55,3.25,10,initial,36.05,312,344,377,409,0,9,9,9,9,0,,,,,,,0,0,0,0,0,13,13,39,,,,,,,,,,,,num_4,1.3424735001754016,num_4,0.2,0.6,0.5499999999999999,0.7,21.01303,26.74385,return,4.466216000029817,,,,,,,,,,,,,,,,,915,20,female,left_right_width,2024-10-23_11h41.55.247,exp1,2023.1.0,59.89390395343217,
,,,,,,,,,,,,,,,,5,8.2,9.1,10,10.9,11.8,0.9,0.35,0.55,4.15,10,initial,36.05,296,328,361,393,425,9,9,9,9,9,,,,,,,0,0,0,0,0,14,14,50,,,,,,,,,,,,num_4,1.0894670002162457,num_4,0.5,0.6,0.5,0.7,19.10275,26.74385,return,3.1697578001767397,,,,,,,,,,,,,,,,,915,20,female,left_right_width,2024-10-23_11h41.55.247,exp1,2023.1.0,59.89390395343217,
,,,,,,,,,,,,,,,,5,8.2,9.1,10,10.9,11.8,0.9,0.35,0.55,4.15,10,initial,36.05,296,328,361,393,425,9,9,9,9,9,,,,,,,0,0,0,0,0,15,15,47,,,,,,,,,,,,num_5,1.0201001001987606,num_5,0.35,0.7,0.39999999999999997,0.75,15.2822,28.65413,return,3.5383619000203907,,,,,,,,,,,,,,,,,915,20,female,left_right_width,2024-10-23_11h41.55.247,exp1,2023.1.0,59.89390395343217,
,,,,,,,,,,,,,,,,3,9.1,10,10.9,0,0,0.9,0.35,0.55,2.35,10,initial,36.05,328,361,393,0,0,9,9,9,0,0,,,,,,,0,0,0,0,0,16,16,6,,,,,,,,,,,,num_3,1.8532708000857383,num_3,0.4,0.8,0.45,0.9,17.19248,34.38495,return,3.529859800124541,,,,,,,,,,,,,,,,,915,20,female,left_right_width,2024-10-23_11h41.55.247,exp1,2023.1.0,59.89390395343217,
,,,,,,,,,,,,,,,,5,8.2,9.1,10,10.9,11.8,0.9,0.35,0.55,4.15,10,initial,36.05,296,328,361,393,425,9,9,9,9,9,,,,,,,0,0,0,0,0,17,17,53,,,,,,,,,,,,num_5,1.2924669000785798,num_5,0.5,1.0,0.5,1.0,19.10275,38.2055,return,0.8680042002815753,,,,,,,,,,,,,,,,,915,20,female,left_right_width,2024-10-23_11h41.55.247,exp1,2023.1.0,59.89390395343217,
,,,,,,,,,,,,,,,,4,8.65,9.55,10.45,11.35,0,0.9,0.35,0.55,3.25,10,initial,36.05,312,344,377,409,0,9,9,9,9,0,,,,,,,0,0,0,0,0,18,18,36,,,,,,,,,,,,num_4,1.2437378000468016,num_4,0.45,0.8,0.5,0.9,19.10275,34.38495,return,4.017690500011668,,,,,,,,,,,,,,,,,915,20,female,left_right_width,2024-10-23_11h41.55.247,exp1,2023.1.0,59.89390395343217,
,,,,,,,,,,,,,,,,5,8.2,9.1,10,10.9,11.8,0.9,0.35,0.55,4.15,10,initial,36.05,296,328,361,393,425,9,9,9,9,9,,,,,,,0,0,0,0,0,19,19,51,,,,,,,,,,,,num_5,1.1897983001545072,num_5,0.45,0.8,0.5,0.8,19.10275,30.5644,return,4.674157300032675,,,,,,,,,,,,,,,,,915,20,female,left_right_width,2024-10-23_11h41.55.247,exp1,2023.1.0,59.89390395343217,
,,,,,,,,,,,,,,,,4,8.65,9.55,10.45,11.35,0,0.9,0.35,0.55,3.25,10,initial,36.05,312,344,377,409,0,9,9,9,9,0,,,,,,,0,0,0,0,0,20,20,40,,,,,,,,,,,,num_4,1.1468154001049697,num_4,0.4,1.1,0.4,0.7,15.2822,26.74385,return,5.398099900223315,,,,,,,,,,,,,,,,,915,20,female,left_right_width,2024-10-23_11h41.55.247,exp1,2023.1.0,59.89390395343217,
,,,,,,,,,,,,,,,,4,8.65,9.55,10.45,11.35,0,0.9,0.35,0.55,3.25,10,initial,36.05,312,344,377,409,0,9,9,9,9,0,,,,,,,0,0,0,0,0,21,21,9,,,,,,,,,,,,num_4,1.9579954999499023,num_4,0.5,1.3,0.35000000000000003,0.7,13.37193,26.74385,return,3.8121750000864267,,,,,,,,,,,,,,,,,915,20,female,left_right_width,2024-10-23_11h41.55.247,exp1,2023.1.0,59.89390395343217,
,,,,,,,,,,,,,,,,3,9.1,10,10.9,0,0,0.9,0.35,0.55,2.35,10,initial,36.05,328,361,393,0,0,9,9,9,0,0,,,,,,,0,0,0,0,0,22,22,8,,,,,,,,,,,,num_3,1.682804100215435,num_3,0.4,0.8,0.4,0.8,15.2822,30.5644,return,1.4143125000409782,,,,,,,,,,,,,,,,,915,20,female,left_right_width,2024-10-23_11h41.55.247,exp1,2023.1.0,59.89390395343217,
,,,,,,,,,,,,,,,,3,9.1,10,10.9,0,0,0.9,0.35,0.55,2.35,10,initial,36.05,328,361,393,0,0,9,9,9,0,0,,,,,,,0,0,0,0,0,23,23,28,,,,,,,,,,,,num_3,1.6557189000304788,num_3,0.25,0.3,0.3,0.7,11.46165,26.74385,return,10.74056400009431,,,,,,,,,,,,,,,,,915,20,female,left_right_width,2024-10-23_11h41.55.247,exp1,2023.1.0,59.89390395343217,
,,,,,,,,,,,,,,,,3,9.1,10,10.9,0,0,0.9,0.35,0.55,2.35,10,initial,36.05,328,361,393,0,0,9,9,9,0,0,,,,,,,0,0,0,0,0,24,24,1,,,,,,,,,,,,num_2,1.327797400066629,num_2,0.4,0.6,0.6000000000000001,0.9,22.9233,34.38495,return,6.692775400122628,,,,,,,,,,,,,,,,,915,20,female,left_right_width,2024-10-23_11h41.55.247,exp1,2023.1.0,59.89390395343217,
,,,,,,,,,,,,,,,,4,8.65,9.55,10.45,11.35,0,0.9,0.35,0.55,3.25,10,initial,36.05,312,344,377,409,0,9,9,9,9,0,,,,,,,0,0,0,0,0,25,25,10,,,,,,,,,,,,num_4,1.3931624002289027,num_4,0.5,1.0,0.35000000000000003,0.6,13.37193,22.9233,return,4.740957400295883,,,,,,,,,,,,,,,,,915,20,female,left_right_width,2024-10-23_11h41.55.247,exp1,2023.1.0,59.89390395343217,
,,,,,,,,,,,,,,,,5,8.2,9.1,10,10.9,11.8,0.9,0.35,0.55,4.15,10,initial,36.05,296,328,361,393,425,9,9,9,9,9,,,,,,,0,0,0,0,0,26,26,25,,,,,,,,,,,,num_5,1.230732300085947,num_5,0.5,1.2,0.45,0.75,17.19248,28.65413,return,3.928410300053656,,,,,,,,,,,,,,,,,915,20,female,left_right_width,2024-10-23_11h41.55.247,exp1,2023.1.0,59.89390395343217,
