amount_p,posx1_p,posx2_p,posx3_p,posx4_p,posx5_p,center_to_center_p,edge_to_edge_p,w_p,stim_lengt_p,eccentricity_p,line1_p,line2_p,line3_p,line4_p,line5_p,amount,posx1,posx2,posx3,posx4,posx5,center_to_center,edge_to_edge,w,stim_length,eccentricity,trial_type,deg_to_pix_index,posx1_in_pix,posx2_in_pix,posx3_in_pix,posx4_in_pix,posx5_in_pix,line1,line2,line3,line4,line5,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,key_resp.keys,key_resp.rt,response,starting_width_deg,starting_space_deg,response_width_degree,response_spacing_degree,response_width_pixel,response_spacing_pixel,next_5.keys,next_5.rt,key_resp_4.keys,key_resp_4.rt,text_3.started,text_3.stopped,text_4.started,text_4.stopped,participant,age,gender,resp_group,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,37.818128099897876,11.225738300010562,None,,,,,,,,,,,,,,,,,,3,23,female,up_down_width,2023_Aug_14_1422,exp1,2021.2.3,60.00470434875859,
3,9.5,10,10.5,0,0,0.5,0.4,0.1,1.1,10,9,9,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,num_3,3.224140000063926,num_3,0.15,0.9,0.09999999999999999,0.9,3.60429,32.43864,return,5.766962300054729,,,,,,,3,23,female,up_down_width,2023_Aug_14_1422,exp1,2021.2.3,60.00470434875859,
4,8.65,9.55,10.45,11.35,0,0.9,0.5,0.4,3.1,10,9,9,9,9,0,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,5,,,,,,,,,,,,,num_3,2.9243110998068005,num_3,0.25,0.6,0.25,0.85,9.01073,30.63649,return,14.949946400010958,,,,,,,3,23,female,up_down_width,2023_Aug_14_1422,exp1,2021.2.3,60.00470434875859,
3,8.2,10,11.8,0,0,1.7999999999999998,1.4,0.4,4,10,9,9,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,num_3,2.2429440999403596,num_3,0.35,0.9,0.35,1.4,12.61502,50.4601,return,3.8955780998803675,,,,,,,3,23,female,up_down_width,2023_Aug_14_1422,exp1,2021.2.3,60.00470434875859,
3,9,10,11,0,0,1,0.9,0.1,2.1,10,9,9,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,1,,,,,,,,,,,,,num_3,2.5788837000727654,num_3,0.4,0.7,0.05000000000000007,0.85,1.80215,30.63649,return,24.906038800021634,,,,,,,3,23,female,up_down_width,2023_Aug_14_1422,exp1,2021.2.3,60.00470434875859,
4,9.5,9.833333333333334,10.166666666666666,10.5,0,0.33333333333333337,0.23333333333333336,0.1,1.1,10,9,9,9,9,0,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,3,,,,,,,,,,,,,num_3,2.989300000015646,num_3,0.4,0.8,0.15000000000000008,0.55,5.40644,19.82361,return,5.300253099994734,,,,,,,3,23,female,up_down_width,2023_Aug_14_1422,exp1,2021.2.3,60.00470434875859,
5,9.25,9.625,10,10.375,10.75,0.375,0.125,0.25,1.75,10,9,9,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,6,,,,,,,,,,,,,num_4,1.8471282999962568,num_4,0.15,1.0,0.15,0.5,5.40644,18.02146,return,6.540884700138122,,,,,,,3,23,female,up_down_width,2023_Aug_14_1422,exp1,2021.2.3,60.00470434875859,
4,9.25,9.75,10.25,10.75,0,0.5,0.25,0.25,1.75,10,9,9,9,9,0,,,,,,,,,,,,,,,,,,,,,,,,0,6,6,4,,,,,,,,,,,,,num_3,2.9951647999696434,num_3,0.35,0.9,0.2,0.8,7.20859,28.83434,return,6.82612290000543,,,,,,,3,23,female,up_down_width,2023_Aug_14_1422,exp1,2021.2.3,60.00470434875859,
5,9,9.5,10,10.5,11,0.5,0.09999999999999998,0.4,2.4,10,9,9,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,0,7,7,8,,,,,,,,,,,,,num_4,1.7179143999237567,num_4,0.15,1.2,0.35,0.9,12.61502,32.43864,return,8.15945169981569,,,,,,,3,23,female,up_down_width,2023_Aug_14_1422,exp1,2021.2.3,60.00470434875859,
5,8.6,9.3,10,10.7,11.4,0.7,0.29999999999999993,0.4,3.1999999999999997,10,9,9,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,0,8,8,7,,,,,,,,,,,,,num_4,2.479944699909538,num_4,0.15,0.5,0.35,0.7,12.61502,25.23005,return,4.34588890010491,,,,,,,3,23,female,up_down_width,2023_Aug_14_1422,exp1,2021.2.3,60.00470434875859,
