amount_p,posx1_p,posx2_p,posx3_p,posx4_p,posx5_p,center_to_center_p,edge_to_edge_p,w_p,stim_lengt_p,eccentricity_p,line1_p,line2_p,line3_p,line4_p,line5_p,amount,posx1,posx2,posx3,posx4,posx5,center_to_center,edge_to_edge,w,stim_length,eccentricity,trial_type,deg_to_pix_index,posx1_in_pix,posx2_in_pix,posx3_in_pix,posx4_in_pix,posx5_in_pix,line1,line2,line3,line4,line5,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,key_resp.keys,key_resp.rt,response,starting_width_deg,starting_space_deg,response_width_degree,response_spacing_degree,response_width_pixel,response_spacing_pixel,next_5.keys,next_5.rt,key_resp_4.keys,key_resp_4.rt,text_3.started,text_3.stopped,text_4.started,text_4.stopped,participant,age,gender,resp_group,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,130.46692809998058,484.01941389997955,None,,,,,,,,,,,,,,,,,,12,22,female,up_down_width,2023_Aug_28_1742,exp1,2021.2.3,59.98681490941918,
5,9.25,9.625,10,10.375,10.75,0.375,0.125,0.25,1.75,10,9,9,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,6,,,,,,,,,,,,,num_5,3.2242126999190077,num_5,0.35,0.9,0.10000000000000002,0.55,3.60429,19.82361,return,12.195516099920496,,,,,,,12,22,female,up_down_width,2023_Aug_28_1742,exp1,2021.2.3,59.98681490941918,
3,9.5,10,10.5,0,0,0.5,0.4,0.1,1.1,10,9,9,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,,,,,,,,,,,,,num_3,2.3567905999952927,num_3,0.35,0.6,0.10000000000000002,0.35,3.60429,12.61502,return,7.348356900038198,,,,,,,12,22,female,up_down_width,2023_Aug_28_1742,exp1,2021.2.3,59.98681490941918,
4,9.25,9.75,10.25,10.75,0,0.5,0.25,0.25,1.75,10,9,9,9,9,0,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,4,,,,,,,,,,,,,num_4,2.076423199963756,num_4,0.15,0.5,0.2,0.5,7.20859,18.02146,return,4.871681099990383,,,,,,,12,22,female,up_down_width,2023_Aug_28_1742,exp1,2021.2.3,59.98681490941918,
5,8.6,9.3,10,10.7,11.4,0.7,0.29999999999999993,0.4,3.1999999999999997,10,9,9,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,7,,,,,,,,,,,,,num_5,1.7995965000009164,num_5,0.4,0.6,0.30000000000000004,0.6,10.81288,21.62576,return,8.998141200048849,,,,,,,12,22,female,up_down_width,2023_Aug_28_1742,exp1,2021.2.3,59.98681490941918,
4,9.5,9.833333333333334,10.166666666666666,10.5,0,0.33333333333333337,0.23333333333333336,0.1,1.1,10,9,9,9,9,0,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,3,,,,,,,,,,,,,num_5,1.751491800067015,num_5,0.1,0.4,0.1,0.4,3.60429,14.41717,return,1.5824300999520347,,,,,,,12,22,female,up_down_width,2023_Aug_28_1742,exp1,2021.2.3,59.98681490941918,
3,8.2,10,11.8,0,0,1.7999999999999998,1.4,0.4,4,10,9,9,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,2,,,,,,,,,,,,,num_3,1.7106957999058068,num_3,0.2,0.5,0.2,0.8,7.20859,28.83434,return,7.848236700054258,,,,,,,12,22,female,up_down_width,2023_Aug_28_1742,exp1,2021.2.3,59.98681490941918,
3,9,10,11,0,0,1,0.9,0.1,2.1,10,9,9,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,6,6,1,,,,,,,,,,,,,num_4,1.951408400083892,num_4,0.25,0.6,0.10000000000000002,0.9,3.60429,32.43864,return,4.48073009995278,,,,,,,12,22,female,up_down_width,2023_Aug_28_1742,exp1,2021.2.3,59.98681490941918,
4,8.65,9.55,10.45,11.35,0,0.9,0.5,0.4,3.1,10,9,9,9,9,0,,,,,,,,,,,,,,,,,,,,,,,,0,7,7,5,,,,,,,,,,,,,num_4,1.6522233000723645,num_4,0.15,1.0,0.25,0.9,9.01073,32.43864,return,5.825240399921313,,,,,,,12,22,female,up_down_width,2023_Aug_28_1742,exp1,2021.2.3,59.98681490941918,
5,9,9.5,10,10.5,11,0.5,0.09999999999999998,0.4,2.4,10,9,9,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,num_5,1.6202795000281185,num_5,0.3,1.1,0.3,0.7,10.81288,25.23005,return,6.913909700000659,,,,,,,12,22,female,up_down_width,2023_Aug_28_1742,exp1,2021.2.3,59.98681490941918,
