amount_p,posx1_p,posx2_p,posx3_p,posx4_p,posx5_p,center_to_center_p,edge_to_edge_p,w_p,stim_lengt_p,eccentricity_p,line1_p,line2_p,line3_p,line4_p,line5_p,amount,posx1,posx2,posx3,posx4,posx5,center_to_center,edge_to_edge,w,stim_length,eccentricity,trial_type,deg_to_pix_index,posx1_in_pix,posx2_in_pix,posx3_in_pix,posx4_in_pix,posx5_in_pix,line1,line2,line3,line4,line5,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,key_resp.keys,key_resp.rt,response,starting_width_deg,starting_space_deg,response_width_degree,response_spacing_degree,response_width_pixel,response_spacing_pixel,next_5.keys,next_5.rt,key_resp_4.keys,key_resp_4.rt,text_3.started,text_3.stopped,text_4.started,text_4.stopped,participant,age,gender,resp_group,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,36.912647999997716,26.256154700007755,None,,,,,,,,,,,,,,,,,,16,21,female,left_right_width,2023_Oct_17_1443,exp1,2021.2.3,60.01666061211096,
4,8.65,9.55,10.45,11.35,0,0.9,0.5,0.4,3.1,10,9,9,9,9,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,5,,,,,,,,,,,,,num_3,7.852731999999378,num_3,0.35,1,0.25,0.9,9.01073,32.43864,return,16.430915699980687,,,,,,,16,21,female,left_right_width,2023_Oct_17_1443,exp1,2021.2.3,60.01666061211096,
4,9.25,9.75,10.25,10.75,0,0.5,0.25,0.25,1.75,10,9,9,9,9,0,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,4,,,,,,,,,,,,,num_3,3.842951000027824,num_3,0.1,0.8,0.15000000000000002,0.5,5.40644,18.02146,return,12.69397389999358,,,,,,,16,21,female,left_right_width,2023_Oct_17_1443,exp1,2021.2.3,60.01666061211096,
5,8.6,9.3,10,10.7,11.4,0.7,0.29999999999999993,0.4,3.1999999999999997,10,9,9,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,7,,,,,,,,,,,,,num_4,3.8811102000181563,num_4,0.15,0.9,0.3,0.8,10.81288,28.83434,return,5.900267800025176,,,,,,,16,21,female,left_right_width,2023_Oct_17_1443,exp1,2021.2.3,60.01666061211096,
3,8.2,10,11.8,0,0,1.7999999999999998,1.4,0.4,4,10,9,9,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,2,,,,,,,,,,,,,num_3,4.177715600002557,num_3,0.4,0.8,0.30000000000000004,0.95,10.81288,34.24078,return,7.0490108000230975,,,,,,,16,21,female,left_right_width,2023_Oct_17_1443,exp1,2021.2.3,60.01666061211096,
5,9.25,9.625,10,10.375,10.75,0.375,0.125,0.25,1.75,10,9,9,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,6,,,,,,,,,,,,,num_4,6.418111399980262,num_4,0.45,0.6,0.35000000000000003,0.5,12.61502,18.02146,return,9.055767000012565,,,,,,,16,21,female,left_right_width,2023_Oct_17_1443,exp1,2021.2.3,60.01666061211096,
3,9,10,11,0,0,1,0.9,0.1,2.1,10,9,9,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,1,,,,,,,,,,,,,num_3,3.138938199961558,num_3,0.1,0.3,0.10000000000000002,0.7,3.60429,25.23005,return,10.533949600008782,,,,,,,16,21,female,left_right_width,2023_Oct_17_1443,exp1,2021.2.3,60.01666061211096,
3,9.5,10,10.5,0,0,0.5,0.4,0.1,1.1,10,9,9,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,6,6,0,,,,,,,,,,,,,num_3,3.6956187000032514,num_3,0.2,1,0.10000000000000002,0.9,3.60429,32.43864,return,7.431734499987215,,,,,,,16,21,female,left_right_width,2023_Oct_17_1443,exp1,2021.2.3,60.01666061211096,
5,9,9.5,10,10.5,11,0.5,0.09999999999999998,0.4,2.4,10,9,9,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,0,7,7,8,,,,,,,,,,,,,num_5,4.212540399981663,num_5,0.3,0.9,0.39999999999999997,0.75,14.41717,27.0322,return,6.601572800020222,,,,,,,16,21,female,left_right_width,2023_Oct_17_1443,exp1,2021.2.3,60.01666061211096,
4,9.5,9.833333333333334,10.166666666666666,10.5,0,0.33333333333333337,0.23333333333333336,0.1,1.1,10,9,9,9,9,0,,,,,,,,,,,,,,,,,,,,,,,,0,8,8,3,,,,,,,,,,,,,num_4,4.383549899968784,num_4,0.4,0.5,0.15000000000000008,0.9,5.40644,32.43864,return,10.47888970002532,,,,,,,16,21,female,left_right_width,2023_Oct_17_1443,exp1,2021.2.3,60.01666061211096,
