amount_p,posx1_p,posx2_p,posx3_p,posx4_p,posx5_p,center_to_center_p,edge_to_edge_p,w_p,stim_lengt_p,eccentricity_p,line1_p,line2_p,line3_p,line4_p,line5_p,amount,posx1,posx2,posx3,posx4,posx5,center_to_center,edge_to_edge,w,stim_length,eccentricity,trial_type,deg_to_pix_index,posx1_in_pix,posx2_in_pix,posx3_in_pix,posx4_in_pix,posx5_in_pix,line1,line2,line3,line4,line5,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,key_resp.keys,key_resp.rt,response,starting_width_deg,starting_space_deg,response_width_degree,response_spacing_degree,response_width_pixel,response_spacing_pixel,next_5.keys,next_5.rt,key_resp_4.keys,key_resp_4.rt,text_3.started,text_3.stopped,text_4.started,text_4.stopped,participant,age,gender,resp_group,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,180.72957840003073,51.95940039982088,None,,,,,,,,,,,,,,,,,,7,22,female,up_down_width,2023_Aug_17_0941,exp1,2021.2.3,60.011078031551406,
5,8.6,9.3,10,10.7,11.4,0.7,0.29999999999999993,0.4,3.1999999999999997,10,9,9,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,7,,,,,,,,,,,,,num_4,2.929319600109011,num_4,0.2,1.2,0.2,1.2,7.20859,43.25151,return,1.482164400164038,,,,,,,7,22,female,up_down_width,2023_Aug_17_0941,exp1,2021.2.3,60.011078031551406,
4,8.65,9.55,10.45,11.35,0,0.9,0.5,0.4,3.1,10,9,9,9,9,0,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,5,,,,,,,,,,,,,num_3,2.8387847000267357,num_3,0.35,0.4,0.35,0.6,12.61502,21.62576,return,5.442767099943012,,,,,,,7,22,female,up_down_width,2023_Aug_17_0941,exp1,2021.2.3,60.011078031551406,
5,9.25,9.625,10,10.375,10.75,0.375,0.125,0.25,1.75,10,9,9,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,6,,,,,,,,,,,,,num_4,2.058819899801165,num_4,0.25,0.6,0.25,0.4,9.01073,14.41717,return,6.901109799975529,,,,,,,7,22,female,up_down_width,2023_Aug_17_0941,exp1,2021.2.3,60.011078031551406,
3,8.2,10,11.8,0,0,1.7999999999999998,1.4,0.4,4,10,9,9,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,2,,,,,,,,,,,,,num_3,2.5019121000077575,num_3,0.25,1.3,0.25,1.6,9.01073,57.66869,return,3.5053181000985205,,,,,,,7,22,female,up_down_width,2023_Aug_17_0941,exp1,2021.2.3,60.011078031551406,
3,9.5,10,10.5,0,0,0.5,0.4,0.1,1.1,10,9,9,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,0,,,,,,,,,,,,,num_3,1.7332534999586642,num_3,0.15,0.7,0.04999999999999999,0.7,1.80215,25.23005,return,13.180580999935046,,,,,,,7,22,female,up_down_width,2023_Aug_17_0941,exp1,2021.2.3,60.011078031551406,
4,9.25,9.75,10.25,10.75,0,0.5,0.25,0.25,1.75,10,9,9,9,9,0,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,4,,,,,,,,,,,,,num_3,2.338923799805343,num_3,0.3,0.8,0.3,0.8,10.81288,28.83434,return,1.9872162998653948,,,,,,,7,22,female,up_down_width,2023_Aug_17_0941,exp1,2021.2.3,60.011078031551406,
5,9,9.5,10,10.5,11,0.5,0.09999999999999998,0.4,2.4,10,9,9,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,0,6,6,8,,,,,,,,,,,,,num_4,1.9476952999830246,num_4,0.2,1.0,0.39999999999999997,1.0,14.41717,36.04293,return,3.274167099967599,,,,,,,7,22,female,up_down_width,2023_Aug_17_0941,exp1,2021.2.3,60.011078031551406,
3,9,10,11,0,0,1,0.9,0.1,2.1,10,9,9,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,7,7,1,,,,,,,,,,,,,num_3,1.9856832001823932,num_3,0.3,1.3,0.05000000000000002,1.3,1.80215,46.85581,return,3.085812599863857,,,,,,,7,22,female,up_down_width,2023_Aug_17_0941,exp1,2021.2.3,60.011078031551406,
4,9.5,9.833333333333334,10.166666666666666,10.5,0,0.33333333333333337,0.23333333333333336,0.1,1.1,10,9,9,9,9,0,,,,,,,,,,,,,,,,,,,,,,,,0,8,8,3,,,,,,,,,,,,,num_3,1.782783100148663,num_3,0.15,1.3,0.04999999999999999,0.9,1.80215,32.43864,return,6.032981100026518,,,,,,,7,22,female,up_down_width,2023_Aug_17_0941,exp1,2021.2.3,60.011078031551406,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,87.91528679989278,,,,,7,22,female,up_down_width,2023_Aug_17_0941,exp1,2021.2.3,60.011078031551406,
,,,,,,,,,,,,,,,,5,8.6,9.3,10,10.7,11.4,0.7,0.29999999999999993,0.4,3.1999999999999997,10,initial,36.05,310,335,361,386,411,9,9,9,9,9,,,,,0,0,0,0,0,0,0,46,,,,,num_4,1.8382437999825925,num_4,0.4,0.6,0.4,0.6,14.41717,21.62576,return,3.8408446998801082,,,,,,,7,22,female,up_down_width,2023_Aug_17_0941,exp1,2021.2.3,60.011078031551406,
