amount_p,posx1_p,posx2_p,posx3_p,posx4_p,posx5_p,center_to_center_p,edge_to_edge_p,w_p,stim_lengt_p,eccentricity_p,line1_p,line2_p,line3_p,line4_p,line5_p,amount,posx1,posx2,posx3,posx4,posx5,center_to_center,edge_to_edge,w,stim_length,eccentricity,trial_type,deg_to_pix_index,posx1_in_pix,posx2_in_pix,posx3_in_pix,posx4_in_pix,posx5_in_pix,line1,line2,line3,line4,line5,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,key_resp.keys,key_resp.rt,response,starting_width_deg,starting_space_deg,response_width_degree,response_spacing_degree,response_width_pixel,response_spacing_pixel,next_5.keys,next_5.rt,key_resp_4.keys,key_resp_4.rt,text_3.started,text_3.stopped,text_4.started,text_4.stopped,participant,age,gender,resp_group,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,268.7022647000849,37.16455180000048,None,,,,,,,,,,,,,,,,,,10,21,female,up_down_width,2023_Aug_28_1516,exp1,2021.2.3,60.05075489302205,
5,9.25,9.625,10,10.375,10.75,0.375,0.125,0.25,1.75,10,9,9,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,6,,,,,,,,,,,,,num_4,3.750996300019324,num_4,0.15,1.0,0.09999999999999999,0.6,3.60429,21.62576,return,35.420951800071634,,,,,,,10,21,female,up_down_width,2023_Aug_28_1516,exp1,2021.2.3,60.05075489302205,
4,8.65,9.55,10.45,11.35,0,0.9,0.5,0.4,3.1,10,9,9,9,9,0,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,5,,,,,,,,,,,,,num_4,4.050312299979851,num_4,0.2,1.1,0.15000000000000002,1.1,5.40644,39.64722,return,10.495163400075398,,,,,,,10,21,female,up_down_width,2023_Aug_28_1516,exp1,2021.2.3,60.05075489302205,
4,9.25,9.75,10.25,10.75,0,0.5,0.25,0.25,1.75,10,9,9,9,9,0,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,4,,,,,,,,,,,,,num_5,4.981507600052282,num_5,0.25,1.2,0.3,0.85,10.81288,30.63649,return,9.706835099961609,,,,,,,10,21,female,up_down_width,2023_Aug_28_1516,exp1,2021.2.3,60.05075489302205,
3,9.5,10,10.5,0,0,0.5,0.4,0.1,1.1,10,9,9,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,0,,,,,,,,,,,,,num_3,5.342715300037526,num_3,0.3,1.1,0.10000000000000002,1.1,3.60429,39.64722,return,10.391418800107203,,,,,,,10,21,female,up_down_width,2023_Aug_28_1516,exp1,2021.2.3,60.05075489302205,
3,8.2,10,11.8,0,0,1.7999999999999998,1.4,0.4,4,10,9,9,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,2,,,,,,,,,,,,,num_3,2.793494800105691,num_3,0.45,0.7,0.35000000000000003,1.3,12.61502,46.85581,return,11.321212899987586,,,,,,,10,21,female,up_down_width,2023_Aug_28_1516,exp1,2021.2.3,60.05075489302205,
3,9,10,11,0,0,1,0.9,0.1,2.1,10,9,9,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,1,,,,,,,,,,,,,num_4,4.007318500080146,num_4,0.3,1.1,0.15000000000000002,1.1,5.40644,39.64722,return,8.30845849995967,,,,,,,10,21,female,up_down_width,2023_Aug_28_1516,exp1,2021.2.3,60.05075489302205,
5,9,9.5,10,10.5,11,0.5,0.09999999999999998,0.4,2.4,10,9,9,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,0,6,6,8,,,,,,,,,,,,,num_4,2.489631999982521,num_4,0.3,0.8,0.3,0.8,10.81288,28.83434,return,4.900933900033124,,,,,,,10,21,female,up_down_width,2023_Aug_28_1516,exp1,2021.2.3,60.05075489302205,
4,9.5,9.833333333333334,10.166666666666666,10.5,0,0.33333333333333337,0.23333333333333336,0.1,1.1,10,9,9,9,9,0,,,,,,,,,,,,,,,,,,,,,,,,0,7,7,3,,,,,,,,,,,,,num_5,2.4047875000396743,num_5,0.45,0.6,0.20000000000000007,0.55,7.20859,19.82361,return,7.858761199982837,,,,,,,10,21,female,up_down_width,2023_Aug_28_1516,exp1,2021.2.3,60.05075489302205,
5,8.6,9.3,10,10.7,11.4,0.7,0.29999999999999993,0.4,3.1999999999999997,10,9,9,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,0,8,8,7,,,,,,,,,,,,,num_5,2.619525699992664,num_5,0.25,0.4,0.2,0.55,7.20859,19.82361,return,8.01567029999569,,,,,,,10,21,female,up_down_width,2023_Aug_28_1516,exp1,2021.2.3,60.05075489302205,
