amount_p,posx1_p,posx2_p,posx3_p,posx4_p,posx5_p,center_to_center_p,edge_to_edge_p,w_p,stim_lengt_p,eccentricity_p,line1_p,line2_p,line3_p,line4_p,line5_p,amount,posx1,posx2,posx3,posx4,posx5,center_to_center,edge_to_edge,w,stim_length,eccentricity,trial_type,deg_to_pix_index,posx1_in_pix,posx2_in_pix,posx3_in_pix,posx4_in_pix,posx5_in_pix,line1,line2,line3,line4,line5,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,key_resp.keys,key_resp.rt,response,starting_width_deg,starting_space_deg,response_width_degree,response_spacing_degree,response_width_pixel,response_spacing_pixel,next_5.keys,next_5.rt,key_resp_4.keys,key_resp_4.rt,text_3.started,text_3.stopped,text_4.started,text_4.stopped,participant,age,gender,resp_group,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,201.27269139999407,24.100584900006652,None,,,,,,,,,,,,,,,,,,8,22,female,up_down_width,2023_Aug_23_1358,exp1,2021.2.3,60.112843830676155,
5,9,9.5,10,10.5,11,0.5,0.09999999999999998,0.4,2.4,10,9,9,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,8,,,,,,,,,,,,,num_4,3.525366200003191,num_4,0.1,1.2,0.25,1.2,9.01073,43.25151,return,9.207492700006696,,,,,,,8,22,female,up_down_width,2023_Aug_23_1358,exp1,2021.2.3,60.112843830676155,
4,9.5,9.833333333333334,10.166666666666666,10.5,0,0.33333333333333337,0.23333333333333336,0.1,1.1,10,9,9,9,9,0,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,3,,,,,,,,,,,,,num_3,6.111482799999067,num_3,0.15,1.3,0.15,1.4,5.40644,50.4601,return,6.825897600007011,,,,,,,8,22,female,up_down_width,2023_Aug_23_1358,exp1,2021.2.3,60.112843830676155,
3,9.5,10,10.5,0,0,0.5,0.4,0.1,1.1,10,9,9,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,0,,,,,,,,,,,,,num_3,2.7294589999946766,num_3,0.2,0.5,0.15000000000000002,0.55,5.40644,19.82361,return,8.682664899999509,,,,,,,8,22,female,up_down_width,2023_Aug_23_1358,exp1,2021.2.3,60.112843830676155,
3,9,10,11,0,0,1,0.9,0.1,2.1,10,9,9,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,1,,,,,,,,,,,,,num_3,2.6361468999966746,num_3,0.2,1,0.10000000000000002,0.9,3.60429,32.43864,return,7.343797800000175,,,,,,,8,22,female,up_down_width,2023_Aug_23_1358,exp1,2021.2.3,60.112843830676155,
3,8.2,10,11.8,0,0,1.7999999999999998,1.4,0.4,4,10,9,9,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,2,,,,,,,,,,,,,num_2,3.9732890000013867,num_2,0.25,1.6,0.3,1.1,10.81288,39.64722,return,10.789272499998333,,,,,,,8,22,female,up_down_width,2023_Aug_23_1358,exp1,2021.2.3,60.112843830676155,
5,9.25,9.625,10,10.375,10.75,0.375,0.125,0.25,1.75,10,9,9,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,6,,,,,,,,,,,,,num_4,3.0318073999951594,num_4,0.35,0.8,0.35,0.8,12.61502,28.83434,return,1.211682599998312,,,,,,,8,22,female,up_down_width,2023_Aug_23_1358,exp1,2021.2.3,60.112843830676155,
5,8.6,9.3,10,10.7,11.4,0.7,0.29999999999999993,0.4,3.1999999999999997,10,9,9,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,0,6,6,7,,,,,,,,,,,,,num_4,1.7699163000070257,num_4,0.15,0.7,0.2,0.6,7.20859,21.62576,return,8.671449999994365,,,,,,,8,22,female,up_down_width,2023_Aug_23_1358,exp1,2021.2.3,60.112843830676155,
4,9.25,9.75,10.25,10.75,0,0.5,0.25,0.25,1.75,10,9,9,9,9,0,,,,,,,,,,,,,,,,,,,,,,,,0,7,7,4,,,,,,,,,,,,,num_3,2.911621599996579,num_3,0.35,1.1,0.25,0.9,9.01073,32.43864,return,8.457495900001959,,,,,,,8,22,female,up_down_width,2023_Aug_23_1358,exp1,2021.2.3,60.112843830676155,
4,8.65,9.55,10.45,11.35,0,0.9,0.5,0.4,3.1,10,9,9,9,9,0,,,,,,,,,,,,,,,,,,,,,,,,0,8,8,5,,,,,,,,,,,,,num_3,3.188168799999403,num_3,0.25,0.5,0.2,0.75,7.20859,27.0322,return,6.271907299989834,,,,,,,8,22,female,up_down_width,2023_Aug_23_1358,exp1,2021.2.3,60.112843830676155,
