amount_p,posx1_p,posx2_p,posx3_p,posx4_p,posx5_p,center_to_center_p,edge_to_edge_p,w_p,stim_length_p,eccentricity_p,line1_p,line2_p,line3_p,line4_p,line5_p,amount,posx1,posx2,posx3,posx4,posx5,center_to_center,edge_to_edge,w,stim_length,eccentricity,trial_type,deg_to_pix_index,posx1_in_pix,posx2_in_pix,posx3_in_pix,posx4_in_pix,posx5_in_pix,line1,line2,line3,line4,line5,posx,setsize_cobdi,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,first.thisRepN,first.thisTrialN,first.thisN,first.thisIndex,second.thisRepN,second.thisTrialN,second.thisN,second.thisIndex,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,key_resp.keys,key_resp.rt,response,starting_width_deg,starting_space_deg,response_width_degree,response_spacing_degree,response_width_pixel,response_spacing_pixel,next_5.keys,next_5.rt,key_resp_4.keys,key_resp_4.rt,text_3.started,text_4.started,key_resp_2.started,text_2.started,key_resp_2.keys,key_resp_2.rt,adjusting.started,next.keys,next.rt,text_control2.started,key_resp.started,key_resp.corr,text_bye.started,text_bye.stopped,participant,age,gender,resp_group,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.846551300026476,c,218.96743369987234,,,,,,,,,,,,,,,,,,,,,,,,,,,,722,21,female,left_right_width,2024-11-02_15h35.40.288,exp1,2023.1.0,59.990521620956734,
3,9.5,10,10.5,0,0,0.5,0.25,0.25,1.25,10,9,9,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,num_3,1.5490608997642994,num_3,0.25,0.9,0.25,0.7,9.55138,26.74385,return,8.629188999999315,,,,,,,,,,,,,,,,,722,21,female,left_right_width,2024-11-02_15h35.40.288,exp1,2023.1.0,59.990521620956734,
4,9.25,9.75,10.25,10.75,0,0.5,0.25,0.25,1.75,10,9,9,9,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,num_4,1.3397690998390317,num_4,0.4,1.0,0.20000000000000007,0.6,7.6411,22.9233,return,9.260216599795967,,,,,,,,,,,,,,,,,722,21,female,left_right_width,2024-11-02_15h35.40.288,exp1,2023.1.0,59.990521620956734,
5,9,9.5,10,10.5,11,0.5,0.1,0.4,2.4,10,9,9,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,5,,,,,,,,,,,,,,,,,,,,num_5,1.8550636996515095,num_5,0.4,1.3,0.35000000000000003,0.55,13.37193,21.01303,return,10.20365219982341,,,,,,,,,,,,,,,,,722,21,female,left_right_width,2024-11-02_15h35.40.288,exp1,2023.1.0,59.990521620956734,
3,9.1,10,10.9,0,0,0.9,0.35,0.55,2.35,10,9,9,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,num_4,1.3487245002761483,num_4,0.4,0.9,0.30000000000000004,0.5,11.46165,19.10275,return,11.021517199929804,,,,,,,,,,,,,,,,,722,21,female,left_right_width,2024-11-02_15h35.40.288,exp1,2023.1.0,59.990521620956734,
4,9.25,9.75,10.25,10.75,0,0.5,0.1,0.4,1.9000000000000001,10,9,9,9,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,num_4,1.5738340001553297,num_4,0.25,0.9,0.3,0.4,11.46165,15.2822,return,11.360784700140357,,,,,,,,,,,,,,,,,722,21,female,left_right_width,2024-11-02_15h35.40.288,exp1,2023.1.0,59.990521620956734,
5,8.2,9.1,10,10.9,11.8,0.9,0.35,0.55,4.15,10,9,9,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,2,,,,,,,,,,,,,,,,,,,,num_5,2.1206902000121772,num_5,0.3,0.8,0.35,0.75,13.37193,28.65413,return,5.711149800103158,,,,,,,,,,,,,,,,,722,21,female,left_right_width,2024-11-02_15h35.40.288,exp1,2023.1.0,59.990521620956734,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,118.0286209997721,,,,,,,,,,,,,,,722,21,female,left_right_width,2024-11-02_15h35.40.288,exp1,2023.1.0,59.990521620956734,
,,,,,,,,,,,,,,,,3,9.5,10,10.5,0,0,0.5,0.1,0.4,1.4000000000000001,10,initial,36.05,342,361,379,0,0,9,9,9,0,0,,,,,,,0,0,0,0,0,0,0,3,,,,,,,,,,,,num_3,2.9395420998334885,num_3,0.25,0.4,0.2,0.35,7.6411,13.37193,return,13.053006200119853,,,,,,,,,,,,,,,,,722,21,female,left_right_width,2024-11-02_15h35.40.288,exp1,2023.1.0,59.990521620956734,
,,,,,,,,,,,,,,,,4,9.25,9.75,10.25,10.75,0,0.5,0.1,0.4,1.9000000000000001,10,initial,36.05,333,351,370,388,0,9,9,9,9,0,,,,,,,0,0,0,0,0,1,1,37,,,,,,,,,,,,num_4,4.291656199842691,num_4,0.45,0.7,0.45,0.6,17.19248,22.9233,return,6.899077299982309,,,,,,,,,,,,,,,,,722,21,female,left_right_width,2024-11-02_15h35.40.288,exp1,2023.1.0,59.990521620956734,
