amount_p,posx1_p,posx2_p,posx3_p,posx4_p,posx5_p,center_to_center_p,edge_to_edge_p,w_p,stim_length_p,eccentricity_p,line1_p,line2_p,line3_p,line4_p,line5_p,amount,posx1,posx2,posx3,posx4,posx5,center_to_center,edge_to_edge,w,stim_length,eccentricity,trial_type,deg_to_pix_index,posx1_in_pix,posx2_in_pix,posx3_in_pix,posx4_in_pix,posx5_in_pix,line1,line2,line3,line4,line5,posx,setsize_cobdi,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,first.thisRepN,first.thisTrialN,first.thisN,first.thisIndex,second.thisRepN,second.thisTrialN,second.thisN,second.thisIndex,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,key_resp.keys,key_resp.rt,response,starting_width_deg,starting_space_deg,response_width_degree,response_spacing_degree,response_width_pixel,response_spacing_pixel,next_5.keys,next_5.rt,key_resp_4.keys,key_resp_4.rt,text_3.started,text_4.started,key_resp_2.started,text_2.started,key_resp_2.keys,key_resp_2.rt,adjusting.started,next.keys,next.rt,text_control2.started,key_resp.started,key_resp.corr,text_bye.started,text_bye.stopped,participant,age,gender,resp_group,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.996658400050364,c,79.06321880000178,,,,,,,,,,,,,,,,,,,,,,,,,,,,906,23,male,left_right_width,2024-10-17_12h44.00.940,exp1,2023.1.0,60.043651717684554,
5,9,9.5,10,10.5,11,0.5,0.1,0.4,2.4,10,9,9,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,5,,,,,,,,,,,,,,,,,,,,num_4,3.1057033999823034,num_4,0.55,0.8,0.5,0.8,19.10275,30.5644,return,13.889535899972543,,,,,,,,,,,,,,,,,906,23,male,left_right_width,2024-10-17_12h44.00.940,exp1,2023.1.0,60.043651717684554,
4,9.25,9.75,10.25,10.75,0,0.5,0.25,0.25,1.75,10,9,9,9,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,num_4,3.6988519999431446,num_4,0.3,1.1,0.3,0.8,11.46165,30.5644,return,13.289426399976946,,,,,,,,,,,,,,,,,906,23,male,left_right_width,2024-10-17_12h44.00.940,exp1,2023.1.0,60.043651717684554,
3,9.1,10,10.9,0,0,0.9,0.35,0.55,2.35,10,9,9,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,3,,,,,,,,,,,,,,,,,,,,num_3,2.570603200001642,num_3,0.2,0.5,0.35,0.55,13.37193,21.01303,return,11.94994029996451,,,,,,,,,,,,,,,,,906,23,male,left_right_width,2024-10-17_12h44.00.940,exp1,2023.1.0,60.043651717684554,
4,9.25,9.75,10.25,10.75,0,0.5,0.1,0.4,1.9000000000000001,10,9,9,9,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,4,,,,,,,,,,,,,,,,,,,,num_4,25.003876899951138,num_4,0.2,1.0,0.35,0.6,13.37193,22.9233,return,13.711296399938874,,,,,,,,,,,,,,,,,906,23,male,left_right_width,2024-10-17_12h44.00.940,exp1,2023.1.0,60.043651717684554,
3,9.5,10,10.5,0,0,0.5,0.25,0.25,1.25,10,9,9,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,0,,,,,,,,,,,,,,,,,,,,num_3,2.468702199985273,num_3,0.25,1,0.3,0.85,11.46165,32.47468,return,10.279066800023429,,,,,,,,,,,,,,,,,906,23,male,left_right_width,2024-10-17_12h44.00.940,exp1,2023.1.0,60.043651717684554,
5,8.2,9.1,10,10.9,11.8,0.9,0.35,0.55,4.15,10,9,9,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,2,,,,,,,,,,,,,,,,,,,,num_5,2.002648900030181,num_5,0.25,0.7,0.44999999999999996,0.75,17.19248,28.65413,return,5.198090300080366,,,,,,,,,,,,,,,,,906,23,male,left_right_width,2024-10-17_12h44.00.940,exp1,2023.1.0,60.043651717684554,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,144.87959399993997,,,,,,,,,,,,,,,906,23,male,left_right_width,2024-10-17_12h44.00.940,exp1,2023.1.0,60.043651717684554,
,,,,,,,,,,,,,,,,3,9.1,10,10.9,0,0,0.9,0.35,0.55,2.35,10,initial,36.05,328,361,393,0,0,9,9,9,0,0,,,,,,,0,0,0,0,0,0,0,28,,,,,,,,,,,,num_2,3.480712999938987,num_2,0.35,1.4,0.49999999999999994,0.7,19.10275,26.74385,return,9.643936099950224,,,,,,,,,,,,,,,,,906,23,male,left_right_width,2024-10-17_12h44.00.940,exp1,2023.1.0,60.043651717684554,
,,,,,,,,,,,,,,,,3,9.1,10,10.9,0,0,0.9,0.35,0.55,2.35,10,initial,36.05,328,361,393,0,0,9,9,9,0,0,,,,,,,0,0,0,0,0,1,1,30,,,,,,,,,,,,num_2,2.83458389993757,num_2,0.3,1.4,0.5499999999999999,1.3,21.01303,49.66716,return,6.495313400053419,,,,,,,,,,,,,,,,,906,23,male,left_right_width,2024-10-17_12h44.00.940,exp1,2023.1.0,60.043651717684554,
,,,,,,,,,,,,,,,,5,8.2,9.1,10,10.9,11.8,0.9,0.35,0.55,4.15,10,initial,36.05,296,328,361,393,425,9,9,9,9,9,,,,,,,0,0,0,0,0,2,2,25,,,,,,,,,,,,num_5,4.082924999995157,num_5,0.5,1.0,0.55,0.9,21.01303,34.38495,return,8.399631900014356,,,,,,,,,,,,,,,,,906,23,male,left_right_width,2024-10-17_12h44.00.940,exp1,2023.1.0,60.043651717684554,
,,,,,,,,,,,,,,,,4,8.65,9.55,10.45,11.35,0,0.9,0.35,0.55,3.25,10,initial,36.05,312,344,377,409,0,9,9,9,9,0,,,,,,,0,0,0,0,0,3,3,39,,,,,,,,,,,,num_4,3.184050800045952,num_4,0.2,0.5,0.39999999999999997,0.7,15.2822,26.74385,return,11.148644399945624,,,,,,,,,,,,,,,,,906,23,male,left_right_width,2024-10-17_12h44.00.940,exp1,2023.1.0,60.043651717684554,
,,,,,,,,,,,,,,,,3,9.1,10,10.9,0,0,0.9,0.35,0.55,2.35,10,initial,36.05,328,361,393,0,0,9,9,9,0,0,,,,,,,0,0,0,0,0,4,4,0,,,,,,,,,,,,num_2,2.207249099970795,num_2,0.25,1.2,0.6,1.0,22.9233,38.2055,return,9.48780609993264,,,,,,,,,,,,,,,,,906,23,male,left_right_width,2024-10-17_12h44.00.940,exp1,2023.1.0,60.043651717684554,
,,,,,,,,,,,,,,,,5,8.2,9.1,10,10.9,11.8,0.9,0.35,0.55,4.15,10,initial,36.05,296,328,361,393,425,9,9,9,9,9,,,,,,,0,0,0,0,0,5,5,20,,,,,,,,,,,,num_5,2.563109999988228,num_5,0.45,0.5,0.45,0.7,17.19248,26.74385,return,12.197852300014347,,,,,,,,,,,,,,,,,906,23,male,left_right_width,2024-10-17_12h44.00.940,exp1,2023.1.0,60.043651717684554,
,,,,,,,,,,,,,,,,3,9.1,10,10.9,0,0,0.9,0.35,0.55,2.35,10,initial,36.05,328,361,393,0,0,9,9,9,0,0,,,,,,,0,0,0,0,0,6,6,34,,,,,,,,,,,,num_3,4.458751700003631,num_3,0.4,0.7,0.4,0.7,15.2822,26.74385,return,7.2644136000890285,,,,,,,,,,,,,,,,,906,23,male,left_right_width,2024-10-17_12h44.00.940,exp1,2023.1.0,60.043651717684554,
,,,,,,,,,,,,,,,,3,9.1,10,10.9,0,0,0.9,0.35,0.55,2.35,10,initial,36.05,328,361,393,0,0,9,9,9,0,0,,,,,,,0,0,0,0,0,7,7,2,,,,,,,,,,,,num_3,2.4496937000658363,num_3,0.35,0.8,0.5499999999999999,0.85,21.01303,32.47468,return,5.182769700069912,,,,,,,,,,,,,,,,,906,23,male,left_right_width,2024-10-17_12h44.00.940,exp1,2023.1.0,60.043651717684554,
,,,,,,,,,,,,,,,,4,8.65,9.55,10.45,11.35,0,0.9,0.35,0.55,3.25,10,initial,36.05,312,344,377,409,0,9,9,9,9,0,,,,,,,0,0,0,0,0,8,8,16,,,,,,,,,,,,num_4,4.530646400060505,num_4,0.25,1.3,0.44999999999999996,0.8,17.19248,30.5644,return,6.332472300040536,,,,,,,,,,,,,,,,,906,23,male,left_right_width,2024-10-17_12h44.00.940,exp1,2023.1.0,60.043651717684554,
,,,,,,,,,,,,,,,,5,8.2,9.1,10,10.9,11.8,0.9,0.35,0.55,4.15,10,initial,36.05,296,328,361,393,425,9,9,9,9,9,,,,,,,0,0,0,0,0,9,9,51,,,,,,,,,,,,num_5,2.2467658000532538,num_5,0.5,0.7,0.5,0.9,19.10275,34.38495,return,8.648558599990793,,,,,,,,,,,,,,,,,906,23,male,left_right_width,2024-10-17_12h44.00.940,exp1,2023.1.0,60.043651717684554,
,,,,,,,,,,,,,,,,4,8.65,9.55,10.45,11.35,0,0.9,0.35,0.55,3.25,10,initial,36.05,312,344,377,409,0,9,9,9,9,0,,,,,,,0,0,0,0,0,10,10,11,,,,,,,,,,,,num_4,1.5102181000402197,num_4,0.35,0.9,0.49999999999999994,0.8,19.10275,30.5644,return,20.994949399959296,,,,,,,,,,,,,,,,,906,23,male,left_right_width,2024-10-17_12h44.00.940,exp1,2023.1.0,60.043651717684554,
,,,,,,,,,,,,,,,,3,9.1,10,10.9,0,0,0.9,0.35,0.55,2.35,10,initial,36.05,328,361,393,0,0,9,9,9,0,0,,,,,,,0,0,0,0,0,11,11,5,,,,,,,,,,,,num_3,2.129934799973853,num_3,0.3,1.1,0.44999999999999996,0.95,17.19248,36.29523,return,6.918332500034012,,,,,,,,,,,,,,,,,906,23,male,left_right_width,2024-10-17_12h44.00.940,exp1,2023.1.0,60.043651717684554,
,,,,,,,,,,,,,,,,5,8.2,9.1,10,10.9,11.8,0.9,0.35,0.55,4.15,10,initial,36.05,296,328,361,393,425,9,9,9,9,9,,,,,,,0,0,0,0,0,12,12,48,,,,,,,,,,,,num_5,2.0576798000838608,num_5,0.5,1.0,0.5,0.9,19.10275,34.38495,return,8.485964799998328,,,,,,,,,,,,,,,,,906,23,male,left_right_width,2024-10-17_12h44.00.940,exp1,2023.1.0,60.043651717684554,
,,,,,,,,,,,,,,,,5,8.2,9.1,10,10.9,11.8,0.9,0.35,0.55,4.15,10,initial,36.05,296,328,361,393,425,9,9,9,9,9,,,,,,,0,0,0,0,0,13,13,19,,,,,,,,,,,,num_5,2.7993150000693277,num_5,0.25,0.9,0.44999999999999996,0.95,17.19248,36.29523,return,13.180055600008927,,,,,,,,,,,,,,,,,906,23,male,left_right_width,2024-10-17_12h44.00.940,exp1,2023.1.0,60.043651717684554,
,,,,,,,,,,,,,,,,5,8.2,9.1,10,10.9,11.8,0.9,0.35,0.55,4.15,10,initial,36.05,296,328,361,393,425,9,9,9,9,9,,,,,,,0,0,0,0,0,14,14,46,,,,,,,,,,,,num_4,1.882249900023453,num_4,0.45,0.8,0.5,1.0,19.10275,38.2055,return,16.269258599961177,,,,,,,,,,,,,,,,,906,23,male,left_right_width,2024-10-17_12h44.00.940,exp1,2023.1.0,60.043651717684554,
,,,,,,,,,,,,,,,,4,8.65,9.55,10.45,11.35,0,0.9,0.35,0.55,3.25,10,initial,36.05,312,344,377,409,0,9,9,9,9,0,,,,,,,0,0,0,0,0,15,15,12,,,,,,,,,,,,num_3,2.630645400029607,num_3,0.4,1.2,0.6500000000000001,0.85,24.83358,32.47468,return,6.075787900015712,,,,,,,,,,,,,,,,,906,23,male,left_right_width,2024-10-17_12h44.00.940,exp1,2023.1.0,60.043651717684554,
,,,,,,,,,,,,,,,,4,8.65,9.55,10.45,11.35,0,0.9,0.35,0.55,3.25,10,initial,36.05,312,344,377,409,0,9,9,9,9,0,,,,,,,0,0,0,0,0,16,16,14,,,,,,,,,,,,num_4,2.0759770000586286,num_4,0.2,0.9,0.5499999999999999,0.9,21.01303,34.38495,return,10.165977600030601,,,,,,,,,,,,,,,,,906,23,male,left_right_width,2024-10-17_12h44.00.940,exp1,2023.1.0,60.043651717684554,
,,,,,,,,,,,,,,,,5,8.2,9.1,10,10.9,11.8,0.9,0.35,0.55,4.15,10,initial,36.05,296,328,361,393,425,9,9,9,9,9,,,,,,,0,0,0,0,0,17,17,47,,,,,,,,,,,,num_5,2.4094417999731377,num_5,0.3,0.5,0.49999999999999994,0.7,19.10275,26.74385,return,9.782926499960013,,,,,,,,,,,,,,,,,906,23,male,left_right_width,2024-10-17_12h44.00.940,exp1,2023.1.0,60.043651717684554,
,,,,,,,,,,,,,,,,5,8.2,9.1,10,10.9,11.8,0.9,0.35,0.55,4.15,10,initial,36.05,296,328,361,393,425,9,9,9,9,9,,,,,,,0,0,0,0,0,18,18,52,,,,,,,,,,,,num_5,2.12067659990862,num_5,0.3,1.3,0.5499999999999999,1.2,21.01303,45.8466,return,7.054728699964471,,,,,,,,,,,,,,,,,906,23,male,left_right_width,2024-10-17_12h44.00.940,exp1,2023.1.0,60.043651717684554,
,,,,,,,,,,,,,,,,3,9.1,10,10.9,0,0,0.9,0.35,0.55,2.35,10,initial,36.05,328,361,393,0,0,9,9,9,0,0,,,,,,,0,0,0,0,0,19,19,35,,,,,,,,,,,,num_3,1.8841933000367135,num_3,0.5,0.9,0.55,0.95,21.01303,36.29523,return,9.416728399926797,,,,,,,,,,,,,,,,,906,23,male,left_right_width,2024-10-17_12h44.00.940,exp1,2023.1.0,60.043651717684554,
,,,,,,,,,,,,,,,,4,8.65,9.55,10.45,11.35,0,0.9,0.35,0.55,3.25,10,initial,36.05,312,344,377,409,0,9,9,9,9,0,,,,,,,0,0,0,0,0,20,20,9,,,,,,,,,,,,num_4,2.125699199968949,num_4,0.35,1.1,0.5499999999999999,1.0,21.01303,38.2055,return,6.548152200062759,,,,,,,,,,,,,,,,,906,23,male,left_right_width,2024-10-17_12h44.00.940,exp1,2023.1.0,60.043651717684554,
,,,,,,,,,,,,,,,,5,8.2,9.1,10,10.9,11.8,0.9,0.35,0.55,4.15,10,initial,36.05,296,328,361,393,425,9,9,9,9,9,,,,,,,0,0,0,0,0,21,21,50,,,,,,,,,,,,num_5,3.9094112999737263,num_5,0.25,0.3,0.5499999999999999,0.8,21.01303,30.5644,return,10.464302100008354,,,,,,,,,,,,,,,,,906,23,male,left_right_width,2024-10-17_12h44.00.940,exp1,2023.1.0,60.043651717684554,
,,,,,,,,,,,,,,,,4,8.65,9.55,10.45,11.35,0,0.9,0.35,0.55,3.25,10,initial,36.05,312,344,377,409,0,9,9,9,9,0,,,,,,,0,0,0,0,0,22,22,38,,,,,,,,,,,,num_3,2.6204579999903217,num_3,0.35,1.1,0.49999999999999994,0.85,19.10275,32.47468,return,9.698049700004049,,,,,,,,,,,,,,,,,906,23,male,left_right_width,2024-10-17_12h44.00.940,exp1,2023.1.0,60.043651717684554,
,,,,,,,,,,,,,,,,5,8.2,9.1,10,10.9,11.8,0.9,0.35,0.55,4.15,10,initial,36.05,296,328,361,393,425,9,9,9,9,9,,,,,,,0,0,0,0,0,23,23,49,,,,,,,,,,,,num_6,6.198878100025468,num_6,0.55,1.2,0.6000000000000001,0.9,22.9233,34.38495,return,12.233133999980055,,,,,,,,,,,,,,,,,906,23,male,left_right_width,2024-10-17_12h44.00.940,exp1,2023.1.0,60.043651717684554,
,,,,,,,,,,,,,,,,4,8.65,9.55,10.45,11.35,0,0.9,0.35,0.55,3.25,10,initial,36.05,312,344,377,409,0,9,9,9,9,0,,,,,,,0,0,0,0,0,24,24,42,,,,,,,,,,,,num_4,1.6453090000431985,num_4,0.2,0.8,0.6,0.9,22.9233,34.38495,return,8.328429599991068,,,,,,,,,,,,,,,,,906,23,male,left_right_width,2024-10-17_12h44.00.940,exp1,2023.1.0,60.043651717684554,
,,,,,,,,,,,,,,,,5,8.2,9.1,10,10.9,11.8,0.9,0.35,0.55,4.15,10,initial,36.05,296,328,361,393,425,9,9,9,9,9,,,,,,,0,0,0,0,0,25,25,21,,,,,,,,,,,,num_5,1.8930294000310823,num_5,0.25,1.0,0.65,1.1,24.83358,42.02605,return,8.030286199995317,,,,,,,,,,,,,,,,,906,23,male,left_right_width,2024-10-17_12h44.00.940,exp1,2023.1.0,60.043651717684554,
,,,,,,,,,,,,,,,,4,8.65,9.55,10.45,11.35,0,0.9,0.35,0.55,3.25,10,initial,36.05,312,344,377,409,0,9,9,9,9,0,,,,,,,0,0,0,0,0,26,26,41,,,,,,,,,,,,num_4,2.9591720999451354,num_4,0.3,0.6,0.49999999999999994,0.8,19.10275,30.5644,return,9.415296499966644,,,,,,,,,,,,,,,,,906,23,male,left_right_width,2024-10-17_12h44.00.940,exp1,2023.1.0,60.043651717684554,
