amount_p,posx1_p,posx2_p,posx3_p,posx4_p,posx5_p,center_to_center_p,edge_to_edge_p,w_p,stim_length_p,eccentricity_p,line1_p,line2_p,line3_p,line4_p,line5_p,amount,posx1,posx2,posx3,posx4,posx5,center_to_center,edge_to_edge,w,stim_length,eccentricity,trial_type,deg_to_pix_index,posx1_in_pix,posx2_in_pix,posx3_in_pix,posx4_in_pix,posx5_in_pix,line1,line2,line3,line4,line5,posx,setsize_cobdi,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,first.thisRepN,first.thisTrialN,first.thisN,first.thisIndex,second.thisRepN,second.thisTrialN,second.thisN,second.thisIndex,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,key_resp.keys,key_resp.rt,response,starting_width_deg,starting_space_deg,response_width_degree,response_spacing_degree,response_width_pixel,response_spacing_pixel,next_5.keys,next_5.rt,key_resp_4.keys,key_resp_4.rt,text_3.started,text_4.started,key_resp_2.started,text_2.started,key_resp_2.keys,key_resp_2.rt,adjusting.started,next.keys,next.rt,text_control2.started,key_resp.started,key_resp.corr,text_bye.started,text_bye.stopped,participant,age,gender,resp_group,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.25915930001065,c,126.86026630003471,,,,,,,,,,,,,,,,,,,,,,,,,,,,717,19,female,left_right_width,2024-10-24_15h50.43.242,exp1,2023.1.0,60.000420013123176,
5,9,9.5,10,10.5,11,0.5,0.1,0.4,2.4,10,9,9,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,5,,,,,,,,,,,,,,,,,,,,num_3,6.075311599997804,num_3,0.35,1.3,0.25,0.65,9.21624,23.96222,return,18.93580390000716,,,,,,,,,,,,,,,,,717,19,female,left_right_width,2024-10-24_15h50.43.242,exp1,2023.1.0,60.000420013123176,
3,9.5,10,10.5,0,0,0.5,0.25,0.25,1.25,10,9,9,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,num_3,4.332446400017943,num_3,0.55,1.2,0.20000000000000007,0.95,7.37299,35.02171,return,22.014475999982096,,,,,,,,,,,,,,,,,717,19,female,left_right_width,2024-10-24_15h50.43.242,exp1,2023.1.0,60.000420013123176,
3,9.1,10,10.9,0,0,0.9,0.35,0.55,2.35,10,9,9,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,3,,,,,,,,,,,,,,,,,,,,num_3,3.254731699998956,num_3,0.2,0.4,0.35,1.2,12.90274,44.23795,return,8.243335999955889,,,,,,,,,,,,,,,,,717,19,female,left_right_width,2024-10-24_15h50.43.242,exp1,2023.1.0,60.000420013123176,
4,9.25,9.75,10.25,10.75,0,0.5,0.1,0.4,1.9000000000000001,10,9,9,9,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,4,,,,,,,,,,,,,,,,,,,,num_3,4.784088500018697,num_3,0.45,1.3,0.4,0.8,14.74598,29.49197,return,36.735874000005424,,,,,,,,,,,,,,,,,717,19,female,left_right_width,2024-10-24_15h50.43.242,exp1,2023.1.0,60.000420013123176,
5,8.2,9.1,10,10.9,11.8,0.9,0.35,0.55,4.15,10,9,9,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,2,,,,,,,,,,,,,,,,,,,,num_4,1.8678129999898374,num_4,0.4,1.0,0.4,1.0,14.74598,36.86496,return,4.0477392000029795,,,,,,,,,,,,,,,,,717,19,female,left_right_width,2024-10-24_15h50.43.242,exp1,2023.1.0,60.000420013123176,
4,9.25,9.75,10.25,10.75,0,0.5,0.25,0.25,1.75,10,9,9,9,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,1,,,,,,,,,,,,,,,,,,,,num_3,2.1017696000053547,num_3,0.3,0.9,0.3,0.9,11.05949,33.17846,return,5.023268699995242,,,,,,,,,,,,,,,,,717,19,female,left_right_width,2024-10-24_15h50.43.242,exp1,2023.1.0,60.000420013123176,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,121.86130140000023,,,,,,,,,,,,,,,717,19,female,left_right_width,2024-10-24_15h50.43.242,exp1,2023.1.0,60.000420013123176,
,,,,,,,,,,,,,,,,4,8.65,9.55,10.45,11.35,0,0.9,0.35,0.55,3.25,10,initial,36.05,312,344,377,409,0,9,9,9,9,0,,,,,,,0,0,0,0,0,0,0,43,,,,,,,,,,,,num_4,2.33546730002854,num_4,0.35,1.0,0.49999999999999994,1.2,18.43248,44.23795,return,4.560635100002401,,,,,,,,,,,,,,,,,717,19,female,left_right_width,2024-10-24_15h50.43.242,exp1,2023.1.0,60.000420013123176,
,,,,,,,,,,,,,,,,5,8.2,9.1,10,10.9,11.8,0.9,0.35,0.55,4.15,10,initial,36.05,296,328,361,393,425,9,9,9,9,9,,,,,,,0,0,0,0,0,1,1,47,,,,,,,,,,,,num_5,1.399742299981881,num_5,0.3,0.4,0.35,1.0,12.90274,36.86496,return,4.9052106000017375,,,,,,,,,,,,,,,,,717,19,female,left_right_width,2024-10-24_15h50.43.242,exp1,2023.1.0,60.000420013123176,
