amount_p,posx1_p,posx2_p,posx3_p,posx4_p,posx5_p,center_to_center_p,edge_to_edge_p,w_p,stim_length_p,eccentricity_p,line1_p,line2_p,line3_p,line4_p,line5_p,amount,posx1,posx2,posx3,posx4,posx5,center_to_center,edge_to_edge,w,stim_length,eccentricity,trial_type,deg_to_pix_index,posx1_in_pix,posx2_in_pix,posx3_in_pix,posx4_in_pix,posx5_in_pix,line1,line2,line3,line4,line5,posx,setsize_cobdi,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,first.thisRepN,first.thisTrialN,first.thisN,first.thisIndex,second.thisRepN,second.thisTrialN,second.thisN,second.thisIndex,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,key_resp.keys,key_resp.rt,response,starting_width_deg,starting_space_deg,response_width_degree,response_spacing_degree,response_width_pixel,response_spacing_pixel,next_5.keys,next_5.rt,key_resp_4.keys,key_resp_4.rt,text_3.started,text_4.started,key_resp_2.started,text_2.started,key_resp_2.keys,key_resp_2.rt,adjusting.started,next.keys,next.rt,text_control2.started,key_resp.started,key_resp.corr,text_bye.started,text_bye.stopped,participant,age,gender,resp_group,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.918362100142986,c,182.1108486999292,,,,,,,,,,,,,,,,,,,,,,,,,,,,918,19,female,up_down_width,2024-10-30_13h37.15.313,exp1,2023.1.0,60.113205238325584,
3,9.5,10,10.5,0,0,0.5,0.25,0.25,1.25,10,9,9,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,num_3,3.362658299971372,num_3,0.35,0.8,0.10000000000000002,0.8,3.82055,30.5644,return,6.983216299908236,,,,,,,,,,,,,,,,,918,19,female,up_down_width,2024-10-30_13h37.15.313,exp1,2023.1.0,60.113205238325584,
4,9.25,9.75,10.25,10.75,0,0.5,0.25,0.25,1.75,10,9,9,9,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,num_4,2.1826124996878207,num_4,0.5,1.0,0.10000000000000007,1.0,3.82055,38.2055,return,6.2478173999115825,,,,,,,,,,,,,,,,,918,19,female,up_down_width,2024-10-30_13h37.15.313,exp1,2023.1.0,60.113205238325584,
4,9.25,9.75,10.25,10.75,0,0.5,0.1,0.4,1.9000000000000001,10,9,9,9,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,4,,,,,,,,,,,,,,,,,,,,num_4,2.0715938999783248,num_4,0.55,1.1,0.5,1.1,19.10275,42.02605,return,3.518776999786496,,,,,,,,,,,,,,,,,918,19,female,up_down_width,2024-10-30_13h37.15.313,exp1,2023.1.0,60.113205238325584,
3,9.1,10,10.9,0,0,0.9,0.35,0.55,2.35,10,9,9,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,num_3,1.9777291999198496,num_3,0.25,0.4,0.35,0.4,13.37193,15.2822,return,4.4085829998366535,,,,,,,,,,,,,,,,,918,19,female,up_down_width,2024-10-30_13h37.15.313,exp1,2023.1.0,60.113205238325584,
5,9,9.5,10,10.5,11,0.5,0.1,0.4,2.4,10,9,9,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,5,,,,,,,,,,,,,,,,,,,,num_3,2.3699625998269767,num_3,0.35,1.2,0.65,1.2,24.83358,45.8466,return,4.091061899904162,,,,,,,,,,,,,,,,,918,19,female,up_down_width,2024-10-30_13h37.15.313,exp1,2023.1.0,60.113205238325584,
5,8.2,9.1,10,10.9,11.8,0.9,0.35,0.55,4.15,10,9,9,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,2,,,,,,,,,,,,,,,,,,,,num_5,1.9918700000271201,num_5,0.4,0.8,0.45,0.8,17.19248,30.5644,return,3.0079895998351276,,,,,,,,,,,,,,,,,918,19,female,up_down_width,2024-10-30_13h37.15.313,exp1,2023.1.0,60.113205238325584,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,85.05185249983333,,,,,,,,,,,,,,,918,19,female,up_down_width,2024-10-30_13h37.15.313,exp1,2023.1.0,60.113205238325584,
,,,,,,,,,,,,,,,,4,9.25,9.75,10.25,10.75,0,0.5,0.25,0.25,1.75,10,initial,36.05,333,351,370,388,0,9,9,9,9,0,,,,,,,0,0,0,0,0,0,0,17,,,,,,,,,,,,num_6,2.591075899777934,num_6,0.4,0.5,0.10000000000000007,0.5,3.82055,19.10275,return,7.5898051999975,,,,,,,,,,,,,,,,,918,19,female,up_down_width,2024-10-30_13h37.15.313,exp1,2023.1.0,60.113205238325584,
,,,,,,,,,,,,,,,,3,9.5,10,10.5,0,0,0.5,0.25,0.25,1.25,10,initial,36.05,342,361,379,0,0,9,9,9,0,0,,,,,,,0,0,0,0,0,1,1,32,,,,,,,,,,,,num_3,1.2796896998770535,num_3,0.5,1.1,0.20000000000000007,1.1,7.6411,42.02605,return,3.7323031998239458,,,,,,,,,,,,,,,,,918,19,female,up_down_width,2024-10-30_13h37.15.313,exp1,2023.1.0,60.113205238325584,
