amount_p,posx1_p,posx2_p,posx3_p,posx4_p,posx5_p,center_to_center_p,edge_to_edge_p,w_p,stim_lengt_p,eccentricity_p,line1_p,line2_p,line3_p,line4_p,line5_p,amount,posx1,posx2,posx3,posx4,posx5,center_to_center,edge_to_edge,w,stim_length,eccentricity,trial_type,deg_to_pix_index,posx1_in_pix,posx2_in_pix,posx3_in_pix,posx4_in_pix,posx5_in_pix,line1,line2,line3,line4,line5,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,key_resp.keys,key_resp.rt,response,starting_width_deg,starting_space_deg,response_width_degree,response_spacing_degree,response_width_pixel,response_spacing_pixel,next_5.keys,next_5.rt,key_resp_4.keys,key_resp_4.rt,text_3.started,text_3.stopped,text_4.started,text_4.stopped,participant,age,gender,resp_group,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,49.38248840000051,91.96200770000087,None,,,,,,,,,,,,,,,,,,14,21,female,up_down_width,2023_Oct_10_1503,exp1,2021.2.3,60.02984683988535,
3,9,10,11,0,0,1,0.9,0.1,2.1,10,9,9,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,,,,,,,,,,,,,num_2,4.931060600000819,num_2,0.1,1.6,0.1,1.3,3.60429,46.85581,return,19.36837359999936,,,,,,,14,21,female,up_down_width,2023_Oct_10_1503,exp1,2021.2.3,60.02984683988535,
3,9.5,10,10.5,0,0,0.5,0.4,0.1,1.1,10,9,9,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,,,,,,,,,,,,,num_2,5.954325000000608,num_2,0.15,1.6,0.15000000000000002,1.1,5.40644,39.64722,return,7.506577100000868,,,,,,,14,21,female,up_down_width,2023_Oct_10_1503,exp1,2021.2.3,60.02984683988535,
4,9.5,9.833333333333334,10.166666666666666,10.5,0,0.33333333333333337,0.23333333333333336,0.1,1.1,10,9,9,9,9,0,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,3,,,,,,,,,,,,,num_4,3.151004500000454,num_4,0.3,0.8,0.2,0.8,7.20859,28.83434,return,4.7354906999999,,,,,,,14,21,female,up_down_width,2023_Oct_10_1503,exp1,2021.2.3,60.02984683988535,
4,9.25,9.75,10.25,10.75,0,0.5,0.25,0.25,1.75,10,9,9,9,9,0,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,4,,,,,,,,,,,,,num_4,2.2837179999996806,num_4,0.3,0.6,0.25,0.6,9.01073,21.62576,return,3.343579299999874,,,,,,,14,21,female,up_down_width,2023_Oct_10_1503,exp1,2021.2.3,60.02984683988535,
5,9,9.5,10,10.5,11,0.5,0.09999999999999998,0.4,2.4,10,9,9,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,8,,,,,,,,,,,,,num_4,1.9706278000003294,num_4,0.4,1.1,0.55,0.9,19.82361,32.43864,return,7.409691500000008,,,,,,,14,21,female,up_down_width,2023_Oct_10_1503,exp1,2021.2.3,60.02984683988535,
5,9.25,9.625,10,10.375,10.75,0.375,0.125,0.25,1.75,10,9,9,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,6,,,,,,,,,,,,,num_3,2.3225380000003497,num_3,0.2,0.4,0.3,0.6,10.81288,21.62576,return,19.874606000000313,,,,,,,14,21,female,up_down_width,2023_Oct_10_1503,exp1,2021.2.3,60.02984683988535,
4,8.65,9.55,10.45,11.35,0,0.9,0.5,0.4,3.1,10,9,9,9,9,0,,,,,,,,,,,,,,,,,,,,,,,,0,6,6,5,,,,,,,,,,,,,num_3,1.3918185000002268,num_3,0.35,0.6,0.35,1.45,12.61502,52.26225,return,4.884707700000035,,,,,,,14,21,female,up_down_width,2023_Oct_10_1503,exp1,2021.2.3,60.02984683988535,
3,8.2,10,11.8,0,0,1.7999999999999998,1.4,0.4,4,10,9,9,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,7,7,2,,,,,,,,,,,,,num_3,1.3163807000000816,num_3,0.45,1,0.45,1.8,16.21932,64.87727,return,5.471136000000115,,,,,,,14,21,female,up_down_width,2023_Oct_10_1503,exp1,2021.2.3,60.02984683988535,
5,8.6,9.3,10,10.7,11.4,0.7,0.29999999999999993,0.4,3.1999999999999997,10,9,9,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,0,8,8,7,,,,,,,,,,,,,num_4,1.0635435000003781,num_4,0.2,1.0,0.49999999999999994,0.8,18.02146,28.83434,return,5.7085894000001645,,,,,,,14,21,female,up_down_width,2023_Oct_10_1503,exp1,2021.2.3,60.02984683988535,
