amount_p,posx1_p,posx2_p,posx3_p,posx4_p,posx5_p,center_to_center_p,edge_to_edge_p,w_p,stim_lengt_p,eccentricity_p,line1_p,line2_p,line3_p,line4_p,line5_p,amount,posx1,posx2,posx3,posx4,posx5,center_to_center,edge_to_edge,w,stim_length,eccentricity,trial_type,deg_to_pix_index,posx1_in_pix,posx2_in_pix,posx3_in_pix,posx4_in_pix,posx5_in_pix,line1,line2,line3,line4,line5,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,key_resp.keys,key_resp.rt,response,starting_width_deg,starting_space_deg,response_width_degree,response_spacing_degree,response_width_pixel,response_spacing_pixel,next_5.keys,next_5.rt,key_resp_4.keys,key_resp_4.rt,text_3.started,text_3.stopped,text_4.started,text_4.stopped,participant,age,gender,resp_group,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,110.70807950012386,20.08149529993534,None,,,,,,,,,,,,,,,,,,5,22,female,up_down_width,2023_Aug_14_1622,exp1,2021.2.3,59.99822406698353,
5,8.6,9.3,10,10.7,11.4,0.7,0.29999999999999993,0.4,3.1999999999999997,10,9,9,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,7,,,,,,,,,,,,,num_4,1.4944637999869883,num_4,0.3,0.3,0.10000000000000002,0.3,3.60429,10.81288,return,18.48110349988565,,,,,,,5,22,female,up_down_width,2023_Aug_14_1622,exp1,2021.2.3,59.99822406698353,
5,9.25,9.625,10,10.375,10.75,0.375,0.125,0.25,1.75,10,9,9,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,6,,,,,,,,,,,,,num_6,1.6711287999060005,num_6,0.15,1.0,0.15,0.3,5.40644,10.81288,return,4.418939499882981,,,,,,,5,22,female,up_down_width,2023_Aug_14_1622,exp1,2021.2.3,59.99822406698353,
4,8.65,9.55,10.45,11.35,0,0.9,0.5,0.4,3.1,10,9,9,9,9,0,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,5,,,,,,,,,,,,,num_4,1.2894957000389695,num_4,0.35,1.3,0.35,1.3,12.61502,46.85581,return,1.0564665999263525,,,,,,,5,22,female,up_down_width,2023_Aug_14_1622,exp1,2021.2.3,59.99822406698353,
3,9,10,11,0,0,1,0.9,0.1,2.1,10,9,9,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,1,,,,,,,,,,,,,num_3,1.2171531999483705,num_3,0.45,0.8,0.10000000000000007,0.7,3.60429,25.23005,return,6.38383510010317,,,,,,,5,22,female,up_down_width,2023_Aug_14_1622,exp1,2021.2.3,59.99822406698353,
5,9,9.5,10,10.5,11,0.5,0.09999999999999998,0.4,2.4,10,9,9,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,8,,,,,,,,,,,,,num_3,1.3252088001463562,num_3,0.4,0.9,0.45,0.75,16.21932,27.0322,return,7.924189200159162,,,,,,,5,22,female,up_down_width,2023_Aug_14_1622,exp1,2021.2.3,59.99822406698353,
3,9.5,10,10.5,0,0,0.5,0.4,0.1,1.1,10,9,9,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,0,,,,,,,,,,,,,num_4,1.6921804000157863,num_4,0.4,1.0,0.05000000000000007,0.7,1.80215,25.23005,return,5.899332599947229,,,,,,,5,22,female,up_down_width,2023_Aug_14_1622,exp1,2021.2.3,59.99822406698353,
3,8.2,10,11.8,0,0,1.7999999999999998,1.4,0.4,4,10,9,9,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,6,6,2,,,,,,,,,,,,,num_3,1.0007881000638008,num_3,0.45,0.6,0.35000000000000003,1.0,12.61502,36.04293,return,3.984940400114283,,,,,,,5,22,female,up_down_width,2023_Aug_14_1622,exp1,2021.2.3,59.99822406698353,
4,9.25,9.75,10.25,10.75,0,0.5,0.25,0.25,1.75,10,9,9,9,9,0,,,,,,,,,,,,,,,,,,,,,,,,0,7,7,4,,,,,,,,,,,,,num_4,0.9927278999239206,num_4,0.4,0.7,0.30000000000000004,0.7,10.81288,25.23005,return,2.808506099972874,,,,,,,5,22,female,up_down_width,2023_Aug_14_1622,exp1,2021.2.3,59.99822406698353,
4,9.5,9.833333333333334,10.166666666666666,10.5,0,0.33333333333333337,0.23333333333333336,0.1,1.1,10,9,9,9,9,0,,,,,,,,,,,,,,,,,,,,,,,,0,8,8,3,,,,,,,,,,,,,num_4,1.2535648001357913,num_4,0.2,0.7,0.10000000000000002,0.6,3.60429,21.62576,return,4.261458700057119,,,,,,,5,22,female,up_down_width,2023_Aug_14_1622,exp1,2021.2.3,59.99822406698353,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,39.84483650000766,,,,,5,22,female,up_down_width,2023_Aug_14_1622,exp1,2021.2.3,59.99822406698353,
,,,,,,,,,,,,,,,,3,8.2,10,11.8,0,0,1.8,1.55,0.25,3.85,10,match,36.05,296,361,425,0,0,9,9,9,0,0,,,,,0,0,0,0,0,0,0,51,,,,,num_3,0.8639944999013096,num_3,0.1,0.5,0.15000000000000002,1.2,5.40644,43.25151,return,7.000719600124285,,,,,,,5,22,female,up_down_width,2023_Aug_14_1622,exp1,2021.2.3,59.99822406698353,
,,,,,,,,,,,,,,,,5,9.25,9.625,10,10.375,10.75,0.375,0.275,0.1,1.6,10,match,36.05,333,347,361,374,388,9,9,9,9,9,,,,,0,0,0,0,0,1,1,19,,,,,num_4,1.6490713998209685,num_4,0.35,0.8,0.10000000000000002,0.7,3.60429,25.23005,return,3.355965199880302,,,,,,,5,22,female,up_down_width,2023_Aug_14_1622,exp1,2021.2.3,59.99822406698353,
,,,,,,,,,,,,,,,,5,9.175,9.5875,10,10.4125,10.825,0.4125,0.16249999999999998,0.25,1.9,10,match,36.05,331,346,361,375,390,9,9,9,9,9,,,,,0,0,0,0,0,2,2,23,,,,,num_5,1.1627420000731945,num_5,0.1,0.9,0.3,0.6,10.81288,21.62576,return,6.777752100024372,,,,,,,5,22,female,up_down_width,2023_Aug_14_1622,exp1,2021.2.3,59.99822406698353,
,,,,,,,,,,,,,,,,3,9.5,10,10.5,0,0,0.5,0.4,0.1,1.1,10,initial,36.05,342,361,379,0,0,9,9,9,0,0,,,,,0,0,0,0,0,3,3,0,,,,,num_3,2.147275800118223,num_3,0.3,1.1,0.2,0.95,7.20859,34.24078,return,4.268170699942857,,,,,,,5,22,female,up_down_width,2023_Aug_14_1622,exp1,2021.2.3,59.99822406698353,
,,,,,,,,,,,,,,,,5,8.95,9.475,10,10.525,11.05,0.525,0.42500000000000004,0.1,2.2,10,match,36.05,323,342,361,379,398,9,9,9,9,9,,,,,0,0,0,0,0,4,4,25,,,,,num_5,0.9421533001586795,num_5,0.2,1.0,0.15000000000000002,0.75,5.40644,27.0322,return,4.982906899880618,,,,,,,5,22,female,up_down_width,2023_Aug_14_1622,exp1,2021.2.3,59.99822406698353,
,,,,,,,,,,,,,,,,4,9.5,9.833333333333334,10.166666666666666,10.5,0,0.3333333333333333,0.08333333333333333,0.25,1.25,10,match,36.05,342,354,367,379,0,9,9,9,9,0,,,,,0,0,0,0,0,5,5,3,,,,,num_3,1.9372045998461545,num_3,0.25,0.9,0.3,0.55,10.81288,19.82361,return,5.936472200090066,,,,,,,5,22,female,up_down_width,2023_Aug_14_1622,exp1,2021.2.3,59.99822406698353,
,,,,,,,,,,,,,,,,3,9.1,10,10.9,0,0,0.9,0.65,0.25,2.05,10,initial,36.05,328,361,393,0,0,9,9,9,0,0,,,,,0,0,0,0,0,6,6,14,,,,,num_3,1.1171466000378132,num_3,0.15,0.7,0.25,1.1,9.01073,39.64722,return,4.128175199963152,,,,,,,5,22,female,up_down_width,2023_Aug_14_1622,exp1,2021.2.3,59.99822406698353,
,,,,,,,,,,,,,,,,3,8.6,10,11.4,0,0,1.4,1.2999999999999998,0.1,2.9,10,match,36.05,310,361,411,0,0,9,9,9,0,0,,,,,0,0,0,0,0,7,7,43,,,,,num_3,0.7486977002117783,num_3,0.15,1.3,0.15,1.3,5.40644,46.85581,return,0.9350827999878675,,,,,,,5,22,female,up_down_width,2023_Aug_14_1622,exp1,2021.2.3,59.99822406698353,
,,,,,,,,,,,,,,,,4,8.65,9.55,10.45,11.35,0,0.9,0.5,0.4,3.1,10,initial,36.05,312,344,377,409,0,9,9,9,9,0,,,,,0,0,0,0,0,8,8,34,,,,,num_4,1.1193194999359548,num_4,0.35,0.4,0.35,0.7,12.61502,25.23005,return,6.385439399862662,,,,,,,5,22,female,up_down_width,2023_Aug_14_1622,exp1,2021.2.3,59.99822406698353,
,,,,,,,,,,,,,,,,5,8.6,9.3,10,10.7,11.4,0.7,0.6,0.1,2.9,10,initial,36.05,310,335,361,386,411,9,9,9,9,9,,,,,0,0,0,0,0,9,9,42,,,,,num_5,0.9384019998833537,num_5,0.1,1.1,0.1,0.8,3.60429,28.83434,return,4.7724303000140935,,,,,,,5,22,female,up_down_width,2023_Aug_14_1622,exp1,2021.2.3,59.99822406698353,
,,,,,,,,,,,,,,,,5,8.2,9.1,10,10.9,11.8,0.9,0.65,0.25,3.85,10,initial,36.05,296,328,361,393,425,9,9,9,9,9,,,,,0,0,0,0,0,10,10,50,,,,,num_5,0.9708821000531316,num_5,0.45,0.6,0.25000000000000006,0.9,9.01073,32.43864,return,3.9785651999991387,,,,,,,5,22,female,up_down_width,2023_Aug_14_1622,exp1,2021.2.3,59.99822406698353,
,,,,,,,,,,,,,,,,3,9.3,10,10.7,0,0,0.7,0.44999999999999996,0.25,1.65,10,initial,36.05,335,361,386,0,0,9,9,9,0,0,,,,,0,0,0,0,0,11,11,8,,,,,num_3,1.0292243000585586,num_3,0.15,0.3,0.2,0.75,7.20859,27.0322,return,6.027866599848494,,,,,,,5,22,female,up_down_width,2023_Aug_14_1622,exp1,2021.2.3,59.99822406698353,
,,,,,,,,,,,,,,,,4,9.1,9.7,10.3,10.9,0,0.6,0.5,0.1,1.9,10,match,36.05,328,350,371,393,0,9,9,9,9,0,,,,,0,0,0,0,0,12,12,13,,,,,num_4,1.0887769998516887,num_4,0.45,1.1,0.10000000000000007,0.7,3.60429,25.23005,return,4.226808799896389,,,,,,,5,22,female,up_down_width,2023_Aug_14_1622,exp1,2021.2.3,59.99822406698353,
