amount_p,posx1_p,posx2_p,posx3_p,posx4_p,posx5_p,center_to_center_p,edge_to_edge_p,w_p,stim_lengt_p,eccentricity_p,line1_p,line2_p,line3_p,line4_p,line5_p,amount,posx1,posx2,posx3,posx4,posx5,center_to_center,edge_to_edge,w,stim_length,eccentricity,trial_type,deg_to_pix_index,posx1_in_pix,posx2_in_pix,posx3_in_pix,posx4_in_pix,posx5_in_pix,line1,line2,line3,line4,line5,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,key_resp.keys,key_resp.rt,response,starting_width_deg,starting_space_deg,response_width_degree,response_spacing_degree,response_width_pixel,response_spacing_pixel,next_5.keys,next_5.rt,key_resp_4.keys,key_resp_4.rt,text_3.started,text_3.stopped,text_4.started,text_4.stopped,participant,age,gender,resp_group,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,93.63110499992035,82.10390330012888,None,,,,,,,,,,,,,,,,,,6,21,female,left_right_width,2023_Aug_15_1306,exp1,2021.2.3,60.13015779263358,
4,9.25,9.75,10.25,10.75,0,0.5,0.25,0.25,1.75,10,9,9,9,9,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,4,,,,,,,,,,,,,num_3,1.8941285000182688,num_3,0.35,1.1,0.15000000000000002,0.6,5.40644,21.62576,return,19.769494499778375,,,,,,,6,21,female,left_right_width,2023_Aug_15_1306,exp1,2021.2.3,60.13015779263358,
5,9,9.5,10,10.5,11,0.5,0.09999999999999998,0.4,2.4,10,9,9,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,8,,,,,,,,,,,,,num_3,3.3183557000011206,num_3,0.45,0.6,0.45,0.6,16.21932,21.62576,return,13.29516139999032,,,,,,,6,21,female,left_right_width,2023_Aug_15_1306,exp1,2021.2.3,60.13015779263358,
4,9.5,9.833333333333334,10.166666666666666,10.5,0,0.33333333333333337,0.23333333333333336,0.1,1.1,10,9,9,9,9,0,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,3,,,,,,,,,,,,,num_3,1.1774154000449926,num_3,0.35,1.2,0.10000000000000002,1.1,3.60429,39.64722,return,15.593562599970028,,,,,,,6,21,female,left_right_width,2023_Aug_15_1306,exp1,2021.2.3,60.13015779263358,
4,8.65,9.55,10.45,11.35,0,0.9,0.5,0.4,3.1,10,9,9,9,9,0,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,5,,,,,,,,,,,,,num_3,5.905413500033319,num_3,0.15,1,0.44999999999999996,1,16.21932,36.04293,return,4.979534100042656,,,,,,,6,21,female,left_right_width,2023_Aug_15_1306,exp1,2021.2.3,60.13015779263358,
3,9,10,11,0,0,1,0.9,0.1,2.1,10,9,9,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,1,,,,,,,,,,,,,num_3,1.7534062000922859,num_3,0.35,1.3,0.05000000000000002,1.05,1.80215,37.84507,return,5.7122906998265535,,,,,,,6,21,female,left_right_width,2023_Aug_15_1306,exp1,2021.2.3,60.13015779263358,
3,9.5,10,10.5,0,0,0.5,0.4,0.1,1.1,10,9,9,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,0,,,,,,,,,,,,,num_3,1.365801899926737,num_3,0.4,1.1,0.05000000000000007,0.9,1.80215,32.43864,return,5.276445799972862,,,,,,,6,21,female,left_right_width,2023_Aug_15_1306,exp1,2021.2.3,60.13015779263358,
3,8.2,10,11.8,0,0,1.7999999999999998,1.4,0.4,4,10,9,9,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,6,6,2,,,,,,,,,,,,,num_3,2.0176699000876397,num_3,0.45,1.1,0.45,1.1,16.21932,39.64722,return,1.3931128999684006,,,,,,,6,21,female,left_right_width,2023_Aug_15_1306,exp1,2021.2.3,60.13015779263358,
5,9.25,9.625,10,10.375,10.75,0.375,0.125,0.25,1.75,10,9,9,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,0,7,7,6,,,,,,,,,,,,,num_3,1.7913478000555187,num_3,0.4,0.9,0.25000000000000006,0.9,9.01073,32.43864,return,3.364573100116104,,,,,,,6,21,female,left_right_width,2023_Aug_15_1306,exp1,2021.2.3,60.13015779263358,
5,8.6,9.3,10,10.7,11.4,0.7,0.29999999999999993,0.4,3.1999999999999997,10,9,9,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,0,8,8,7,,,,,,,,,,,,,num_3,1.0246629000175744,num_3,0.1,0.3,0.35,0.45,12.61502,16.21932,return,7.892996300011873,,,,,,,6,21,female,left_right_width,2023_Aug_15_1306,exp1,2021.2.3,60.13015779263358,
